,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.000504916999489069,11.0,0.0,True,250,0.1,300
1,1,0.19788770808372647,24.0,2.0,True,250,0.1,300
2,2,0.2034186670789495,26.0,4.0,True,250,0.1,300
3,3,0.21383608307223767,27.0,6.0,True,250,0.1,300
4,4,0.21951525006443262,28.0,8.0,True,250,0.1,300
5,5,0.22565575002226979,28.0,9.0,True,250,0.1,300
6,6,0.23042625002563,28.0,10.0,True,250,0.1,300
7,7,0.23785487504210323,28.0,11.0,True,250,0.1,300
8,8,0.24440787499770522,28.0,12.0,True,250,0.1,300
9,9,0.25086595804896206,28.0,13.0,True,250,0.1,300
10,10,0.2573361670365557,28.0,14.0,True,250,0.1,300
11,11,0.2642137500224635,28.0,15.0,True,250,0.1,300
12,12,0.2706996670458466,28.0,16.0,True,250,0.1,300
13,13,0.2771239170106128,28.0,17.0,True,250,0.1,300
14,14,0.283505667001009,28.0,18.0,True,250,0.1,300
15,15,0.2898663750384003,28.0,19.0,True,250,0.1,300
16,16,0.29631416709162295,28.0,20.0,True,250,0.1,300
17,17,0.30276145809330046,28.0,21.0,True,250,0.1,300
18,18,0.3092327920021489,28.0,22.0,True,250,0.1,300
19,19,0.3157122500706464,28.0,23.0,True,250,0.1,300
20,20,0.3221011250279844,28.0,24.0,True,250,0.1,300
21,21,0.3285850420361385,28.0,25.0,True,250,0.1,300
22,22,0.3350710830418393,28.0,26.0,True,250,0.1,300
23,23,0.34390541701577604,28.0,27.0,True,250,0.1,300
24,24,0.35167204204481095,28.0,28.0,True,250,0.1,300
25,25,0.35827900003641844,28.0,29.0,True,250,0.1,300
26,26,0.3657823330722749,28.0,30.0,True,250,0.1,300
27,27,0.3760324170580134,28.0,31.0,True,250,0.1,300
28,28,0.3839051250834018,28.0,32.0,True,250,0.1,300
29,29,0.3904703750740737,28.0,33.0,True,250,0.1,300
30,30,0.3969396250322461,28.0,34.0,True,250,0.1,300
31,31,0.40334354201331735,28.0,35.0,True,250,0.1,300
32,32,0.4098134170053527,28.0,36.0,True,250,0.1,300
33,33,0.416324625024572,28.0,37.0,True,250,0.1,300
34,34,0.4227304580854252,28.0,38.0,True,250,0.1,300
35,35,0.4292152920970693,28.0,39.0,True,250,0.1,300
36,36,0.438027249998413,28.0,40.0,True,250,0.1,300
37,37,0.44590662501286715,28.0,41.0,True,250,0.1,300
38,38,0.4538057080935687,28.0,42.0,True,250,0.1,300
39,39,0.46315487509127706,28.0,43.0,True,250,0.1,300
40,40,0.471550083020702,28.0,44.0,True,250,0.1,300
41,41,0.47909325000364333,28.0,45.0,True,250,0.1,300
42,42,0.48574820801150054,28.0,46.0,True,250,0.1,300
43,43,0.5012985420180485,28.0,47.0,True,250,0.1,300
44,44,0.5115063330158591,28.0,48.0,True,250,0.1,300
45,45,0.5206816249992698,28.0,49.0,True,250,0.1,300
46,46,0.5293232500553131,28.0,50.0,True,250,0.1,300
47,47,0.5358931249938905,28.0,51.0,True,250,0.1,300
48,48,0.542419167002663,28.0,52.0,True,250,0.1,300
49,49,0.5489215420093387,28.0,53.0,True,250,0.1,300
50,50,0.555356458062306,28.0,54.0,True,250,0.1,300
51,51,0.5617585420841351,28.0,55.0,True,250,0.1,300
52,52,0.5681166670983657,28.0,56.0,True,250,0.1,300
53,53,0.5745191670721397,28.0,57.0,True,250,0.1,300
54,54,0.581260500010103,28.0,58.0,True,250,0.1,300
55,0,0.000504916999489069,11.0,0.0,True,250,0.2,300
56,1,0.19788770808372647,25.0,2.0,True,250,0.2,300
57,2,0.2034186670789495,25.0,3.0,True,250,0.2,300
58,3,0.21383608307223767,27.0,5.0,True,250,0.2,300
59,4,0.21951525006443262,27.0,6.0,True,250,0.2,300
60,5,0.22565575002226979,27.0,7.0,True,250,0.2,300
61,6,0.23042625002563,29.0,9.0,True,250,0.2,300
62,0,0.000504916999489069,11.0,0.0,True,250,0.4,300
63,1,0.19788770808372647,24.0,2.0,True,250,0.4,300
64,2,0.2034186670789495,24.0,3.0,True,250,0.4,300
