,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,11.0,5,0.0015848749317228794,"[3, 9, 8, 6, 8, 5, 2, 9, 0, 1]",5,0.05,300
1,300,3.0,369,0.09339458390604705,"[5, 7, 5, 4, 2, 9, 0, 6, 8, 1]",5,0.05,300
2,0,11.0,5,0.0016929999692365527,"[3, 9, 8, 6, 8, 5, 2, 9, 0, 1]",5,0.1,300
3,300,3.0,429,0.1620766669511795,"[5, 7, 3, 6, 2, 9, 0, 6, 8, 1]",5,0.1,300
4,0,11.0,5,0.0014378749765455723,"[3, 9, 8, 6, 8, 5, 2, 9, 0, 1]",5,0.2,300
5,300,2.0,538,0.1349758750293404,"[5, 7, 3, 0, 2, 9, 1, 6, 8, 1]",5,0.2,300
6,0,11.0,5,0.0013873340794816613,"[3, 9, 8, 6, 8, 5, 2, 9, 0, 1]",5,0.4,300
7,300,2.0,375,0.257379624992609,"[2, 7, 5, 6, 3, 9, 0, 4, 8, 1]",5,0.4,300
8,0,11.0,5,0.0013765000039711595,"[3, 9, 8, 6, 8, 5, 2, 9, 0, 1]",5,0.6,300
9,300,1.0,652,0.20203520893119276,"[1, 7, 5, 0, 2, 9, 6, 3, 8, 4]",5,0.6,300
10,0,11.0,5,0.001408749958500266,"[3, 9, 8, 6, 8, 5, 2, 9, 0, 1]",5,0.8,300
11,300,2.0,604,0.1426745830103755,"[4, 9, 5, 8, 1, 7, 0, 2, 8, 6]",5,0.8,300
