,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,47.0,50,0.05519829201512039,"[22, 49, 30, 44, 29, 41, 6, 16, 28, 19, 22, 27, 32, 13, 40, 24, 43, 1, 35, 7, 17, 9, 46, 24, 24, 16, 24, 18, 3, 3, 28, 6, 33, 33, 5, 38, 28, 14, 45, 43, 36, 10, 31, 38, 30, 22, 22, 22, 16, 46]",True,50,0.1,300
1,300,34.0,2652,27.318106333957985,"[10.0, 25.0, 19.0, 14.0, 7.0, 9.0, 45.0, 11.0, 21.0, 31.0, 18.0, 37.0, 8.0, 10.0, 35.0, 49.0, 3.0, 48.0, 20.0, 6.0, 19.0, 26.0, 24.0, 45.0, 2.0, 17.0, 18.0, 8.0, 48.0, 18.0, 7.0, 43.0, 3.0, 39.0, 17.0, 1.0, 33.0, 11.0, 20.0, 18.0, 34.0, 45.0, 48.0, 41.0, 12.0, 15.0, 25.0, 16.0, 38.0, 3.0]",True,50,0.1,300
2,0,47.0,50,0.05226541601587087,"[22, 49, 30, 44, 29, 41, 6, 16, 28, 19, 22, 27, 32, 13, 40, 24, 43, 1, 35, 7, 17, 9, 46, 24, 24, 16, 24, 18, 3, 3, 28, 6, 33, 33, 5, 38, 28, 14, 45, 43, 36, 10, 31, 38, 30, 22, 22, 22, 16, 46]",True,50,0.2,300
3,300,34.0,2652,27.084075708058663,"[10.0, 25.0, 19.0, 14.0, 7.0, 9.0, 45.0, 11.0, 21.0, 31.0, 18.0, 37.0, 8.0, 10.0, 35.0, 49.0, 3.0, 48.0, 20.0, 6.0, 19.0, 26.0, 24.0, 45.0, 2.0, 17.0, 18.0, 8.0, 48.0, 18.0, 7.0, 43.0, 3.0, 39.0, 17.0, 1.0, 33.0, 11.0, 20.0, 18.0, 34.0, 45.0, 48.0, 41.0, 12.0, 15.0, 25.0, 16.0, 38.0, 3.0]",True,50,0.2,300
4,0,47.0,50,0.0570452919928357,"[22, 49, 30, 44, 29, 41, 6, 16, 28, 19, 22, 27, 32, 13, 40, 24, 43, 1, 35, 7, 17, 9, 46, 24, 24, 16, 24, 18, 3, 3, 28, 6, 33, 33, 5, 38, 28, 14, 45, 43, 36, 10, 31, 38, 30, 22, 22, 22, 16, 46]",True,50,0.4,300
5,300,34.0,2652,26.677420041989535,"[10.0, 25.0, 19.0, 14.0, 7.0, 9.0, 45.0, 11.0, 21.0, 31.0, 18.0, 37.0, 8.0, 10.0, 35.0, 49.0, 3.0, 48.0, 20.0, 6.0, 19.0, 26.0, 24.0, 45.0, 2.0, 17.0, 18.0, 8.0, 48.0, 18.0, 7.0, 43.0, 3.0, 39.0, 17.0, 1.0, 33.0, 11.0, 20.0, 18.0, 34.0, 45.0, 48.0, 41.0, 12.0, 15.0, 25.0, 16.0, 38.0, 3.0]",True,50,0.4,300
6,0,47.0,50,0.04801912500988692,"[22, 49, 30, 44, 29, 41, 6, 16, 28, 19, 22, 27, 32, 13, 40, 24, 43, 1, 35, 7, 17, 9, 46, 24, 24, 16, 24, 18, 3, 3, 28, 6, 33, 33, 5, 38, 28, 14, 45, 43, 36, 10, 31, 38, 30, 22, 22, 22, 16, 46]",True,50,0.5,300
7,300,34.0,2652,26.363590541062877,"[10.0, 25.0, 19.0, 14.0, 7.0, 9.0, 45.0, 11.0, 21.0, 31.0, 18.0, 37.0, 8.0, 10.0, 35.0, 49.0, 3.0, 48.0, 20.0, 6.0, 19.0, 26.0, 24.0, 45.0, 2.0, 17.0, 18.0, 8.0, 48.0, 18.0, 7.0, 43.0, 3.0, 39.0, 17.0, 1.0, 33.0, 11.0, 20.0, 18.0, 34.0, 45.0, 48.0, 41.0, 12.0, 15.0, 25.0, 16.0, 38.0, 3.0]",True,50,0.5,300
8,0,47.0,50,0.04544124996755272,"[22, 49, 30, 44, 29, 41, 6, 16, 28, 19, 22, 27, 32, 13, 40, 24, 43, 1, 35, 7, 17, 9, 46, 24, 24, 16, 24, 18, 3, 3, 28, 6, 33, 33, 5, 38, 28, 14, 45, 43, 36, 10, 31, 38, 30, 22, 22, 22, 16, 46]",True,50,0.7,300
9,300,35.0,2652,26.999384916969575,"[10.0, 25.0, 19.0, 14.0, 7.0, 9.0, 45.0, 11.0, 21.0, 31.0, 18.0, 42.0, 8.0, 10.0, 35.0, 49.0, 3.0, 48.0, 31.0, 22.0, 19.0, 26.0, 24.0, 45.0, 2.0, 17.0, 18.0, 8.0, 48.0, 18.0, 7.0, 43.0, 3.0, 39.0, 17.0, 1.0, 33.0, 11.0, 20.0, 16.0, 34.0, 45.0, 48.0, 41.0, 12.0, 15.0, 25.0, 16.0, 38.0, 3.0]",True,50,0.7,300
