,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,25.0,0,0.0009923750767484307,"[2, 5, 12, 0, 20, 4, 8, 2, 0, 13, 15, 23, 21, 10, 16, 5, 9, 23, 13, 13, 8, 16, 17, 21, 1]",geometric,0.1,0.99,0.001,0.09999900263469233,0.1,300
1,300,4.0,346,0.38302975008264184,"[17, 9, 2, 13, 20, 4, 2, 6, 12, 23, 15, 1, 21, 10, 5, 0, 8, 18, 11, 22, 7, 19, 24, 3, 7]",geometric,0.1,0.99,0.001,0.09961578224949214,0.1,300
2,0,25.0,0,0.00112529203761369,"[2, 5, 12, 0, 20, 4, 8, 2, 0, 13, 15, 23, 21, 10, 16, 5, 9, 23, 13, 13, 8, 16, 17, 21, 1]",geometric,0.5,0.99,0.001,0.4999943452505208,0.5,300
3,300,5.0,307,0.24779458402190357,"[13, 4, 2, 24, 20, 16, 12, 1, 3, 23, 7, 19, 21, 15, 8, 5, 0, 9, 11, 10, 19, 17, 14, 0, 22]",geometric,0.5,0.99,0.001,0.4987563398640216,0.5,300
4,0,25.0,0,0.0009110829560086131,"[2, 5, 12, 0, 20, 4, 8, 2, 0, 13, 15, 23, 21, 10, 16, 5, 9, 23, 13, 13, 8, 16, 17, 21, 1]",geometric,1.0,0.99,0.001,0.9999908433522241,1.0,300
5,300,6.0,383,0.21175262494944036,"[17, 3, 7, 24, 11, 23, 12, 1, 12, 20, 2, 8, 21, 9, 5, 15, 9, 18, 13, 7, 19, 0, 6, 13, 10]",geometric,1.0,0.99,0.001,0.9978740779814603,1.0,300
6,0,25.0,0,0.0009234169265255332,"[2, 5, 12, 0, 20, 4, 8, 2, 0, 13, 15, 23, 21, 10, 16, 5, 9, 23, 13, 13, 8, 16, 17, 21, 1]",geometric,2.0,0.99,0.001,1.9999814387856414,2.0,300
7,300,7.0,410,0.23513779195491225,"[0, 14, 7, 2, 21, 15, 2, 10, 24, 20, 1, 23, 10, 1, 4, 23, 20, 9, 12, 3, 13, 22, 5, 8, 18]",geometric,2.0,0.99,0.001,1.9952791528206348,2.0,300
8,0,25.0,0,0.0009301659883931279,"[2, 5, 12, 0, 20, 4, 8, 2, 0, 13, 15, 23, 21, 10, 16, 5, 9, 23, 13, 13, 8, 16, 17, 21, 1]",geometric,5.0,0.99,0.001,4.99995325781557,5.0,300
9,300,9.0,461,0.2699978749733418,"[4, 0, 14, 14, 21, 6, 12, 15, 24, 16, 1, 20, 1, 13, 9, 23, 4, 22, 14, 11, 17, 3, 7, 17, 10]",geometric,5.0,0.99,0.001,4.986450545390355,5.0,300
10,0,25.0,0,0.0009142080089077353,"[2, 5, 12, 0, 20, 4, 8, 2, 0, 13, 15, 23, 21, 10, 16, 5, 9, 23, 13, 13, 8, 16, 17, 21, 1]",geometric,10.0,0.99,0.001,9.99990811944681,10,300
11,300,16.0,509,0.2699644159292802,"[4, 13, 20, 14, 21, 6, 2, 10, 12, 19, 21, 16, 24, 10, 23, 23, 7, 24, 14, 5, 14, 3, 9, 18, 16]",geometric,10.0,0.99,0.001,9.9729044444149,10,300
