,algorithm,learning_rate,mutation_prob,population_size,restarts,schedule_init,duration,train_score,val_score,test_score,fitness_curve_length
0,gradient_descent,0.1,0.1,50,0,0.1,13.072319984436035,0.00644468313641246,0.006265664160401002,0.0012531328320802004,500
1,gradient_descent,0.01,0.1,50,0,0.1,14.127694129943848,0.00644468313641246,0.006265664160401002,0.0012531328320802004,500
2,gradient_descent,0.001,0.1,50,0,0.1,14.654120922088623,0.04242749731471536,0.03884711779448621,0.03007518796992481,500
3,gradient_descent,0.0001,0.1,50,0,0.1,17.963985919952393,0.5448442534908701,0.5338345864661654,0.506265664160401,500
4,gradient_descent,1e-05,0.1,50,0,0.1,17.221923112869263,0.5469924812030075,0.5463659147869674,0.5238095238095238,500
5,gradient_descent,1e-07,0.1,50,0,0.1,16.853859186172485,0.42857142857142855,0.42606516290726815,0.44360902255639095,500
6,simulated_annealing,0.1,0.1,50,0,0.05,11.00246000289917,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
7,simulated_annealing,0.1,0.1,50,0,0.1,11.363821744918823,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
8,simulated_annealing,0.1,0.1,50,0,0.5,11.611012935638428,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
9,simulated_annealing,0.1,0.1,50,0,1.0,11.781147718429565,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
10,simulated_annealing,0.1,0.1,50,0,2.0,11.7048978805542,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
11,simulated_annealing,0.1,0.1,50,0,5.0,12.031946182250977,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
12,simulated_annealing,0.1,0.1,50,0,10.0,12.042654991149902,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
13,simulated_annealing,0.1,0.1,50,0,20.0,12.107830047607422,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
14,simulated_annealing,0.01,0.1,50,0,0.05,11.667984962463379,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
15,simulated_annealing,0.01,0.1,50,0,0.1,8.25594973564148,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
16,simulated_annealing,0.01,0.1,50,0,0.5,7.952036142349243,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
17,simulated_annealing,0.01,0.1,50,0,1.0,8.048062086105347,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
18,simulated_annealing,0.01,0.1,50,0,2.0,8.225477933883667,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
19,simulated_annealing,0.01,0.1,50,0,5.0,8.019172191619873,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
20,simulated_annealing,0.01,0.1,50,0,10.0,8.24973726272583,0.44199785177228784,0.41729323308270677,0.4298245614035088,500
