,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0008466660510748625,5.0,50.0,50,0.05,300
1,1,0.13875970803201199,8.0,102.0,50,0.05,300
2,2,0.14154979097656906,9.0,154.0,50,0.05,300
3,3,0.14416449994314462,9.0,205.0,50,0.05,300
4,4,0.14662545803003013,9.0,256.0,50,0.05,300
5,5,0.14910429099109024,10.0,308.0,50,0.05,300
6,6,0.15154374996200204,10.0,359.0,50,0.05,300
7,7,0.1538280410459265,10.0,410.0,50,0.05,300
8,8,0.15605091594625264,10.0,461.0,50,0.05,300
9,9,0.15824925003107637,10.0,512.0,50,0.05,300
10,10,0.1604676659917459,10.0,563.0,50,0.05,300
11,11,0.1626228749519214,10.0,614.0,50,0.05,300
12,12,0.16465737496037036,10.0,665.0,50,0.05,300
13,13,0.16866037505678833,10.0,716.0,50,0.05,300
14,14,0.17450512503273785,10.0,767.0,50,0.05,300
15,15,0.17966062505729496,10.0,818.0,50,0.05,300
16,16,0.1816073750378564,10.0,869.0,50,0.05,300
17,17,0.1834538329858333,10.0,920.0,50,0.05,300
18,18,0.18525587499607354,10.0,971.0,50,0.05,300
19,19,0.1870601250557229,10.0,1022.0,50,0.05,300
20,20,0.18885254103224725,10.0,1073.0,50,0.05,300
21,21,0.19064825004898012,10.0,1124.0,50,0.05,300
22,22,0.1924330829642713,10.0,1175.0,50,0.05,300
23,23,0.1942039580317214,10.0,1226.0,50,0.05,300
24,24,0.19598008296452463,10.0,1277.0,50,0.05,300
25,25,0.19777295796666294,10.0,1328.0,50,0.05,300
26,26,0.19955837505403906,10.0,1379.0,50,0.05,300
27,27,0.20134120795410126,10.0,1430.0,50,0.05,300
28,28,0.2031302909599617,10.0,1481.0,50,0.05,300
29,29,0.2049041660502553,10.0,1532.0,50,0.05,300
30,30,0.20668125001247972,10.0,1583.0,50,0.05,300
31,31,0.20845949999056756,10.0,1634.0,50,0.05,300
32,32,0.21023333305492997,10.0,1685.0,50,0.05,300
