,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0010119170183315873,138.0,50.0,True,50,0.1,300
1,1,0.06126466707792133,154.0,102.0,True,50,0.1,300
2,2,0.11643125000409782,156.0,154.0,True,50,0.1,300
3,3,0.16737008304335177,156.0,205.0,True,50,0.1,300
4,4,0.24117079202551395,156.0,256.0,True,50,0.1,300
5,5,0.3667001670692116,156.0,307.0,True,50,0.1,300
6,6,0.44740904204081744,156.0,358.0,True,50,0.1,300
7,7,0.5143707500537857,156.0,409.0,True,50,0.1,300
8,8,0.5779612080659717,156.0,460.0,True,50,0.1,300
9,9,0.6436908330069855,156.0,511.0,True,50,0.1,300
10,10,0.7110777921043336,156.0,562.0,True,50,0.1,300
11,11,0.7882545420434326,156.0,613.0,True,50,0.1,300
12,12,0.8516980831045657,156.0,664.0,True,50,0.1,300
13,13,0.9156082500703633,156.0,715.0,True,50,0.1,300
14,14,0.9751824580598623,156.0,766.0,True,50,0.1,300
15,15,1.0351170001085848,156.0,817.0,True,50,0.1,300
16,16,1.101449333014898,156.0,868.0,True,50,0.1,300
17,17,1.1624370000790805,156.0,919.0,True,50,0.1,300
18,18,1.231525875045918,156.0,970.0,True,50,0.1,300
19,19,1.2994709580671042,156.0,1021.0,True,50,0.1,300
20,20,1.3745232080109417,156.0,1072.0,True,50,0.1,300
21,21,1.4364989580353722,156.0,1123.0,True,50,0.1,300
22,22,1.509755083010532,156.0,1174.0,True,50,0.1,300
23,23,1.5815046250354499,156.0,1225.0,True,50,0.1,300
24,24,1.6514161250088364,156.0,1276.0,True,50,0.1,300
25,25,1.7418333750683814,156.0,1327.0,True,50,0.1,300
26,26,1.8220863330643624,156.0,1378.0,True,50,0.1,300
27,27,1.8909616250311956,156.0,1429.0,True,50,0.1,300
28,28,1.9605127080576494,156.0,1480.0,True,50,0.1,300
29,29,2.037007667007856,156.0,1531.0,True,50,0.1,300
30,30,2.1205928750569,156.0,1582.0,True,50,0.1,300
31,31,2.1939373750938103,156.0,1633.0,True,50,0.1,300
32,32,2.2618542501004413,156.0,1684.0,True,50,0.1,300
33,33,2.341976833064109,156.0,1735.0,True,50,0.1,300
34,34,2.4039795000571758,156.0,1786.0,True,50,0.1,300
35,35,2.4622167500201613,156.0,1837.0,True,50,0.1,300
36,36,2.533280458068475,156.0,1888.0,True,50,0.1,300
37,37,2.612075667013414,156.0,1939.0,True,50,0.1,300
38,38,2.6985149580286816,156.0,1990.0,True,50,0.1,300
39,39,2.756945583038032,156.0,2041.0,True,50,0.1,300
40,40,2.8389954580925405,156.0,2092.0,True,50,0.1,300
41,41,2.909477792098187,156.0,2143.0,True,50,0.1,300
42,42,2.9868340000975877,156.0,2194.0,True,50,0.1,300
43,43,3.0558859170414507,156.0,2245.0,True,50,0.1,300
44,44,3.126577625051141,156.0,2296.0,True,50,0.1,300
45,45,3.203500667004846,156.0,2347.0,True,50,0.1,300
46,46,3.279037833097391,156.0,2398.0,True,50,0.1,300
47,47,3.364692125003785,156.0,2449.0,True,50,0.1,300
48,48,3.42749704211019,156.0,2500.0,True,50,0.1,300
49,49,3.4917723330436274,156.0,2551.0,True,50,0.1,300
50,50,3.5582879170542583,156.0,2602.0,True,50,0.1,300
51,51,3.6294277081033215,156.0,2653.0,True,50,0.1,300
52,52,3.7013014170806855,156.0,2704.0,True,50,0.1,300
53,0,0.0010119170183315873,138.0,50.0,True,50,0.2,300
54,1,0.06126466707792133,152.0,102.0,True,50,0.2,300
55,2,0.11643125000409782,162.0,154.0,True,50,0.2,300
56,3,0.16737008304335177,168.0,206.0,True,50,0.2,300
57,4,0.24117079202551395,168.0,257.0,True,50,0.2,300
58,5,0.3667001670692116,169.0,309.0,True,50,0.2,300
59,6,0.44740904204081744,171.0,361.0,True,50,0.2,300
60,7,0.5143707500537857,171.0,412.0,True,50,0.2,300
61,8,0.5779612080659717,171.0,463.0,True,50,0.2,300
62,9,0.6436908330069855,171.0,514.0,True,50,0.2,300
63,10,0.7110777921043336,171.0,565.0,True,50,0.2,300
64,11,0.7882545420434326,171.0,616.0,True,50,0.2,300
65,12,0.8516980831045657,171.0,667.0,True,50,0.2,300
66,13,0.9156082500703633,171.0,718.0,True,50,0.2,300
67,14,0.9751824580598623,171.0,769.0,True,50,0.2,300
68,15,1.0351170001085848,171.0,820.0,True,50,0.2,300
69,16,1.101449333014898,171.0,871.0,True,50,0.2,300
70,17,1.1624370000790805,171.0,922.0,True,50,0.2,300
71,18,1.231525875045918,171.0,973.0,True,50,0.2,300
72,19,1.2994709580671042,171.0,1024.0,True,50,0.2,300
73,20,1.3745232080109417,171.0,1075.0,True,50,0.2,300
74,21,1.4364989580353722,171.0,1126.0,True,50,0.2,300
75,22,1.509755083010532,171.0,1177.0,True,50,0.2,300
76,23,1.5815046250354499,171.0,1228.0,True,50,0.2,300
77,24,1.6514161250088364,171.0,1279.0,True,50,0.2,300
78,25,1.7418333750683814,171.0,1330.0,True,50,0.2,300
79,26,1.8220863330643624,171.0,1381.0,True,50,0.2,300
80,27,1.8909616250311956,171.0,1432.0,True,50,0.2,300
81,28,1.9605127080576494,171.0,1483.0,True,50,0.2,300
82,29,2.037007667007856,171.0,1534.0,True,50,0.2,300
83,30,2.1205928750569,171.0,1585.0,True,50,0.2,300
84,31,2.1939373750938103,171.0,1636.0,True,50,0.2,300
85,32,2.2618542501004413,171.0,1687.0,True,50,0.2,300
86,33,2.341976833064109,171.0,1738.0,True,50,0.2,300
87,34,2.4039795000571758,171.0,1789.0,True,50,0.2,300
88,35,2.4622167500201613,171.0,1840.0,True,50,0.2,300
89,36,2.533280458068475,171.0,1891.0,True,50,0.2,300
90,37,2.612075667013414,171.0,1942.0,True,50,0.2,300
91,38,2.6985149580286816,171.0,1993.0,True,50,0.2,300
92,39,2.756945583038032,171.0,2044.0,True,50,0.2,300
93,40,2.8389954580925405,171.0,2095.0,True,50,0.2,300
94,41,2.909477792098187,171.0,2146.0,True,50,0.2,300
95,42,2.9868340000975877,171.0,2197.0,True,50,0.2,300
96,43,3.0558859170414507,171.0,2248.0,True,50,0.2,300
97,44,3.126577625051141,171.0,2299.0,True,50,0.2,300
98,45,3.203500667004846,171.0,2350.0,True,50,0.2,300
99,46,3.279037833097391,171.0,2401.0,True,50,0.2,300
100,47,3.364692125003785,171.0,2452.0,True,50,0.2,300
