,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,24.0,5,0.0032614170340821147,"[2, 21, 8, 20, 1, 20, 19, 0, 14, 2, 20, 22, 3, 9, 20, 11, 15, 24, 6, 7, 21, 9, 9, 23, 19]",5,0.05,300
1,300,10.0,867,0.4079279580619186,"[23, 17, 14, 10, 22, 0, 3, 4, 18, 15, 21, 23, 20, 1, 6, 24, 14, 16, 7, 19, 2, 22, 3, 5, 12]",5,0.05,300
2,0,24.0,5,0.003041582996957004,"[2, 21, 8, 20, 1, 20, 19, 0, 14, 2, 20, 22, 3, 9, 20, 11, 15, 24, 6, 7, 21, 9, 9, 23, 19]",5,0.1,300
3,300,12.0,1202,0.621658958029002,"[1, 17, 16, 10, 9, 20, 3, 4, 18, 15, 23, 23, 3, 22, 14, 8, 14, 4, 7, 0, 0, 16, 0, 8, 12]",5,0.1,300
4,0,24.0,5,0.003053624997846782,"[2, 21, 8, 20, 1, 20, 19, 0, 14, 2, 20, 22, 3, 9, 20, 11, 15, 24, 6, 7, 21, 9, 9, 23, 19]",5,0.2,300
5,300,8.0,1059,0.5813966658897698,"[2, 17, 1, 10, 22, 0, 3, 0, 11, 15, 15, 23, 20, 9, 14, 24, 5, 16, 5, 19, 0, 16, 13, 21, 12]",5,0.2,300
6,0,24.0,5,0.0037256249925121665,"[2, 21, 8, 20, 1, 20, 19, 0, 14, 2, 20, 22, 3, 9, 20, 11, 15, 24, 6, 7, 21, 9, 9, 23, 19]",5,0.4,300
7,300,5.0,1315,0.6729139169910923,"[8, 17, 5, 10, 22, 0, 3, 24, 9, 15, 2, 23, 20, 6, 16, 0, 4, 11, 7, 19, 1, 12, 1, 21, 16]",5,0.4,300
8,0,24.0,5,0.0030604590428993106,"[2, 21, 8, 20, 1, 20, 19, 0, 14, 2, 20, 22, 3, 9, 20, 11, 15, 24, 6, 7, 21, 9, 9, 23, 19]",5,0.6,300
9,300,5.0,1229,0.7253279590513557,"[15, 17, 5, 11, 8, 19, 17, 13, 1, 19, 6, 23, 7, 0, 3, 22, 14, 16, 9, 19, 2, 5, 3, 24, 12]",5,0.6,300
10,0,24.0,5,0.003254665993154049,"[2, 21, 8, 20, 1, 20, 19, 0, 14, 2, 20, 22, 3, 9, 20, 11, 15, 24, 6, 7, 21, 9, 9, 23, 19]",5,0.8,300
11,300,4.0,1290,0.5795315409777686,"[21, 17, 5, 9, 22, 9, 13, 18, 1, 11, 6, 23, 20, 10, 3, 24, 14, 16, 0, 19, 11, 15, 7, 4, 11]",5,0.8,300
