,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0014490840258076787,108.0,0.0,True,250,0.1,300
1,1,0.10633600002620369,117.0,2.0,True,250,0.1,300
2,2,0.1634792919503525,124.0,4.0,True,250,0.1,300
3,3,0.2474662089953199,125.0,6.0,True,250,0.1,300
4,4,0.3051419999683276,134.0,8.0,True,250,0.1,300
5,5,0.3604978750227019,134.0,9.0,True,250,0.1,300
6,6,0.4206473339581862,143.0,11.0,True,250,0.1,300
7,7,0.4866454169386998,150.0,13.0,True,250,0.1,300
8,8,0.5508478339761496,156.0,15.0,True,250,0.1,300
9,9,0.610570624936372,162.0,17.0,True,250,0.1,300
10,10,0.6610715839779004,162.0,18.0,True,250,0.1,300
11,11,0.7440024589886889,164.0,20.0,True,250,0.1,300
12,12,0.9351512499852106,164.0,21.0,True,250,0.1,300
13,13,0.9891132500488311,164.0,22.0,True,250,0.1,300
14,14,1.303543374990113,164.0,23.0,True,250,0.1,300
15,15,1.4353104169713333,164.0,24.0,True,250,0.1,300
16,16,1.6064253749791533,164.0,25.0,True,250,0.1,300
17,17,1.7877479590242729,164.0,26.0,True,250,0.1,300
18,18,1.961483750026673,164.0,27.0,True,250,0.1,300
19,19,2.1468648749869317,164.0,28.0,True,250,0.1,300
20,20,2.314022667007521,164.0,29.0,True,250,0.1,300
21,21,2.482660667039454,164.0,30.0,True,250,0.1,300
22,22,2.6345862499438226,164.0,31.0,True,250,0.1,300
23,23,2.7791279590455815,164.0,32.0,True,250,0.1,300
24,24,2.944197208969854,164.0,33.0,True,250,0.1,300
25,25,3.122681000037119,164.0,34.0,True,250,0.1,300
26,26,3.2471115839434788,164.0,35.0,True,250,0.1,300
27,27,3.391078958986327,164.0,36.0,True,250,0.1,300
28,28,3.5456354999914765,164.0,37.0,True,250,0.1,300
29,29,3.726477124961093,164.0,38.0,True,250,0.1,300
30,30,3.864134709001519,164.0,39.0,True,250,0.1,300
31,31,4.0227778339758515,164.0,40.0,True,250,0.1,300
32,32,4.181454458972439,164.0,41.0,True,250,0.1,300
33,33,4.33456450002268,164.0,42.0,True,250,0.1,300
34,34,4.490163999958895,164.0,43.0,True,250,0.1,300
35,35,4.645951958955266,164.0,44.0,True,250,0.1,300
36,36,4.813677583937533,164.0,45.0,True,250,0.1,300
37,37,4.95889129198622,164.0,46.0,True,250,0.1,300
38,38,5.117208375013433,164.0,47.0,True,250,0.1,300
39,39,5.275544042000547,164.0,48.0,True,250,0.1,300
40,40,5.422846250003204,164.0,49.0,True,250,0.1,300
41,41,5.599351334036328,164.0,50.0,True,250,0.1,300
42,42,5.732903291936964,164.0,51.0,True,250,0.1,300
43,43,5.901222959044389,164.0,52.0,True,250,0.1,300
44,44,6.041458209045231,164.0,53.0,True,250,0.1,300
45,45,6.197647084016353,164.0,54.0,True,250,0.1,300
46,46,6.36921979195904,164.0,55.0,True,250,0.1,300
47,47,6.539480292005464,164.0,56.0,True,250,0.1,300
48,48,6.695659874938428,164.0,57.0,True,250,0.1,300
49,49,6.843099209014326,164.0,58.0,True,250,0.1,300
50,50,7.021714208996855,164.0,59.0,True,250,0.1,300
51,51,7.188894874998368,164.0,60.0,True,250,0.1,300
52,52,7.347091041970998,164.0,61.0,True,250,0.1,300
53,53,7.489186416962184,164.0,62.0,True,250,0.1,300
54,54,7.670258666970767,164.0,63.0,True,250,0.1,300
55,55,7.817702000029385,164.0,64.0,True,250,0.1,300
56,56,7.9637752920389175,164.0,65.0,True,250,0.1,300
57,57,8.103600166970864,164.0,66.0,True,250,0.1,300
