,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0002616249257698655,15.0,0.0,50,0.05,300
1,1,0.07672337500844151,21.0,2.0,50,0.05,300
2,2,0.07834374997764826,21.0,3.0,50,0.05,300
3,3,0.08001566596794873,24.0,5.0,50,0.05,300
4,4,0.08166391600389034,24.0,6.0,50,0.05,300
5,5,0.08328841591719538,25.0,8.0,50,0.05,300
6,6,0.08488987502641976,25.0,9.0,50,0.05,300
7,7,0.08638670796062797,25.0,10.0,50,0.05,300
8,8,0.0878386659314856,25.0,11.0,50,0.05,300
9,9,0.0893058329820633,26.0,13.0,50,0.05,300
10,10,0.09074791602324694,26.0,14.0,50,0.05,300
11,11,0.09218149993102998,26.0,15.0,50,0.05,300
12,12,0.0936230409424752,26.0,16.0,50,0.05,300
13,13,0.09508658293634653,28.0,18.0,50,0.05,300
14,14,0.09653795801568776,28.0,19.0,50,0.05,300
15,15,0.0979007079731673,28.0,20.0,50,0.05,300
16,16,0.09923687495756894,28.0,21.0,50,0.05,300
17,17,0.10055674996692687,28.0,22.0,50,0.05,300
18,18,0.10188508301507682,28.0,23.0,50,0.05,300
19,19,0.10321970796212554,28.0,24.0,50,0.05,300
20,20,0.10455283301416785,28.0,25.0,50,0.05,300
21,21,0.10589558293577284,28.0,26.0,50,0.05,300
22,22,0.10719633300323039,28.0,27.0,50,0.05,300
23,23,0.10846849996596575,28.0,28.0,50,0.05,300
24,24,0.11110241594724357,28.0,29.0,50,0.05,300
25,25,0.11533820792101324,28.0,30.0,50,0.05,300
26,26,0.11928212502971292,28.0,31.0,50,0.05,300
27,27,0.12072020792402327,28.0,32.0,50,0.05,300
28,28,0.12202166602946818,28.0,33.0,50,0.05,300
29,29,0.12330412492156029,28.0,34.0,50,0.05,300
30,30,0.12457491597160697,28.0,35.0,50,0.05,300
31,31,0.12584133294876665,28.0,36.0,50,0.05,300
32,32,0.12710916600190103,28.0,37.0,50,0.05,300
33,33,0.12837837496772408,28.0,38.0,50,0.05,300
34,34,0.12965004099532962,28.0,39.0,50,0.05,300
35,35,0.13090862496756017,28.0,40.0,50,0.05,300
36,36,0.132177707972005,28.0,41.0,50,0.05,300
37,37,0.13344441598746926,28.0,42.0,50,0.05,300
38,38,0.13469454098958522,28.0,43.0,50,0.05,300
39,39,0.135949540999718,28.0,44.0,50,0.05,300
40,40,0.13721579092089087,28.0,45.0,50,0.05,300
41,41,0.1384765829425305,28.0,46.0,50,0.05,300
42,42,0.1403177499305457,28.0,47.0,50,0.05,300
43,43,0.14189854101277888,28.0,48.0,50,0.05,300
44,44,0.14321304101031274,28.0,49.0,50,0.05,300
45,45,0.14449854101985693,28.0,50.0,50,0.05,300
46,46,0.14579424995463341,28.0,51.0,50,0.05,300
47,47,0.14708820800296962,28.0,52.0,50,0.05,300
48,48,0.14836633298546076,28.0,53.0,50,0.05,300
49,49,0.14981466601602733,28.0,54.0,50,0.05,300
50,50,0.15131541597656906,28.0,55.0,50,0.05,300
51,51,0.15267416602000594,28.0,56.0,50,0.05,300
52,52,0.15397691598627716,28.0,57.0,50,0.05,300
53,53,0.15525795798748732,28.0,58.0,50,0.05,300
54,54,0.15652874996885657,28.0,59.0,50,0.05,300
55,55,0.15778870799113065,28.0,60.0,50,0.05,300
56,56,0.15906650002580136,28.0,61.0,50,0.05,300
57,57,0.16033708292525262,28.0,62.0,50,0.05,300
58,58,0.1616015830077231,28.0,63.0,50,0.05,300
59,59,0.16285762493498623,28.0,64.0,50,0.05,300
60,60,0.1641169999493286,28.0,65.0,50,0.05,300
61,61,0.16533391596749425,28.0,66.0,50,0.05,300
62,62,0.1665599999250844,28.0,67.0,50,0.05,300
63,63,0.16776958294212818,28.0,68.0,50,0.05,300
64,0,0.0002616249257698655,15.0,0.0,50,0.1,300
65,1,0.07672337500844151,21.0,2.0,50,0.1,300
66,2,0.07834374997764826,21.0,3.0,50,0.1,300
67,3,0.08001566596794873,24.0,5.0,50,0.1,300
68,4,0.08166391600389034,24.0,6.0,50,0.1,300
69,5,0.08328841591719538,24.0,7.0,50,0.1,300
70,6,0.08488987502641976,24.0,8.0,50,0.1,300
71,7,0.08638670796062797,24.0,9.0,50,0.1,300
72,8,0.0878386659314856,24.0,10.0,50,0.1,300
73,9,0.0893058329820633,24.0,11.0,50,0.1,300
74,10,0.09074791602324694,25.0,13.0,50,0.1,300
75,11,0.09218149993102998,25.0,14.0,50,0.1,300
76,12,0.0936230409424752,25.0,15.0,50,0.1,300
77,13,0.09508658293634653,25.0,16.0,50,0.1,300
78,14,0.09653795801568776,25.0,17.0,50,0.1,300
79,15,0.0979007079731673,25.0,18.0,50,0.1,300
80,16,0.09923687495756894,25.0,19.0,50,0.1,300
81,17,0.10055674996692687,25.0,20.0,50,0.1,300
82,18,0.10188508301507682,25.0,21.0,50,0.1,300
83,19,0.10321970796212554,25.0,22.0,50,0.1,300
84,20,0.10455283301416785,25.0,23.0,50,0.1,300
85,21,0.10589558293577284,25.0,24.0,50,0.1,300
86,22,0.10719633300323039,25.0,25.0,50,0.1,300
87,23,0.10846849996596575,25.0,26.0,50,0.1,300
88,24,0.11110241594724357,25.0,27.0,50,0.1,300
89,25,0.11533820792101324,25.0,28.0,50,0.1,300
90,26,0.11928212502971292,25.0,29.0,50,0.1,300
91,27,0.12072020792402327,25.0,30.0,50,0.1,300
92,28,0.12202166602946818,25.0,31.0,50,0.1,300
93,29,0.12330412492156029,25.0,32.0,50,0.1,300
94,30,0.12457491597160697,25.0,33.0,50,0.1,300
95,31,0.12584133294876665,25.0,34.0,50,0.1,300
96,32,0.12710916600190103,25.0,35.0,50,0.1,300
97,33,0.12837837496772408,26.0,37.0,50,0.1,300
98,34,0.12965004099532962,26.0,38.0,50,0.1,300
99,35,0.13090862496756017,26.0,39.0,50,0.1,300
100,36,0.132177707972005,26.0,40.0,50,0.1,300
101,37,0.13344441598746926,26.0,41.0,50,0.1,300
102,38,0.13469454098958522,26.0,42.0,50,0.1,300
103,39,0.135949540999718,26.0,43.0,50,0.1,300
104,40,0.13721579092089087,26.0,44.0,50,0.1,300
105,41,0.1384765829425305,26.0,45.0,50,0.1,300
106,42,0.1403177499305457,26.0,46.0,50,0.1,300
107,43,0.14189854101277888,26.0,47.0,50,0.1,300
108,44,0.14321304101031274,26.0,48.0,50,0.1,300
109,45,0.14449854101985693,26.0,49.0,50,0.1,300
110,46,0.14579424995463341,26.0,50.0,50,0.1,300
111,47,0.14708820800296962,26.0,51.0,50,0.1,300
112,48,0.14836633298546076,26.0,52.0,50,0.1,300
113,49,0.14981466601602733,26.0,53.0,50,0.1,300
114,50,0.15131541597656906,26.0,54.0,50,0.1,300
115,51,0.15267416602000594,26.0,55.0,50,0.1,300
116,52,0.15397691598627716,26.0,56.0,50,0.1,300
117,53,0.15525795798748732,26.0,57.0,50,0.1,300
118,54,0.15652874996885657,26.0,58.0,50,0.1,300
119,55,0.15778870799113065,26.0,59.0,50,0.1,300
120,56,0.15906650002580136,26.0,60.0,50,0.1,300
121,57,0.16033708292525262,26.0,61.0,50,0.1,300
122,58,0.1616015830077231,26.0,62.0,50,0.1,300
123,59,0.16285762493498623,26.0,63.0,50,0.1,300
124,60,0.1641169999493286,26.0,64.0,50,0.1,300
125,61,0.16533391596749425,26.0,65.0,50,0.1,300
126,62,0.1665599999250844,26.0,66.0,50,0.1,300
127,63,0.16776958294212818,26.0,67.0,50,0.1,300
128,64,0.00016666599549353123,26.0,68.0,50,0.1,300
129,65,0.03340512502472848,26.0,69.0,50,0.1,300
130,66,0.03470487496815622,26.0,70.0,50,0.1,300
131,67,0.0360284160124138,26.0,71.0,50,0.1,300
132,68,0.03729716595262289,26.0,72.0,50,0.1,300
133,69,0.03854383295401931,26.0,73.0,50,0.1,300
134,70,0.03981604101136327,26.0,74.0,50,0.1,300
135,71,0.04107420798391104,26.0,75.0,50,0.1,300
136,72,0.04236574994865805,26.0,76.0,50,0.1,300
137,73,0.04363445797935128,26.0,77.0,50,0.1,300
138,74,0.044889832963235676,26.0,78.0,50,0.1,300
139,75,0.04613099992275238,26.0,79.0,50,0.1,300
140,76,0.04737145802937448,26.0,80.0,50,0.1,300
141,77,0.04864924994762987,26.0,81.0,50,0.1,300
142,78,0.049927165964618325,26.0,82.0,50,0.1,300
143,79,0.05118662503082305,26.0,83.0,50,0.1,300
144,80,0.05245495797134936,26.0,84.0,50,0.1,300
145,81,0.053706540958955884,26.0,85.0,50,0.1,300
146,82,0.0549529999261722,26.0,86.0,50,0.1,300
147,83,0.05617712496314198,26.0,87.0,50,0.1,300
148,0,0.0002616249257698655,15.0,0.0,50,0.2,300
149,1,0.07672337500844151,21.0,2.0,50,0.2,300
150,2,0.07834374997764826,21.0,3.0,50,0.2,300
151,3,0.08001566596794873,21.0,4.0,50,0.2,300
152,4,0.08166391600389034,22.0,6.0,50,0.2,300
153,5,0.08328841591719538,22.0,7.0,50,0.2,300
154,6,0.08488987502641976,22.0,8.0,50,0.2,300
155,7,0.08638670796062797,23.0,10.0,50,0.2,300
156,8,0.0878386659314856,23.0,11.0,50,0.2,300
157,9,0.0893058329820633,23.0,12.0,50,0.2,300
158,10,0.09074791602324694,24.0,14.0,50,0.2,300
159,11,0.09218149993102998,25.0,16.0,50,0.2,300
160,12,0.0936230409424752,25.0,17.0,50,0.2,300
161,13,0.09508658293634653,25.0,18.0,50,0.2,300
162,14,0.09653795801568776,26.0,20.0,50,0.2,300
163,15,0.0979007079731673,26.0,21.0,50,0.2,300
164,16,0.09923687495756894,26.0,22.0,50,0.2,300
165,17,0.10055674996692687,26.0,23.0,50,0.2,300
166,18,0.10188508301507682,26.0,24.0,50,0.2,300
167,19,0.10321970796212554,26.0,25.0,50,0.2,300
168,20,0.10455283301416785,26.0,26.0,50,0.2,300
169,21,0.10589558293577284,26.0,27.0,50,0.2,300
170,22,0.10719633300323039,26.0,28.0,50,0.2,300
171,23,0.10846849996596575,26.0,29.0,50,0.2,300
172,24,0.11110241594724357,26.0,30.0,50,0.2,300
173,25,0.11533820792101324,26.0,31.0,50,0.2,300
174,26,0.11928212502971292,26.0,32.0,50,0.2,300
175,27,0.12072020792402327,26.0,33.0,50,0.2,300
176,28,0.12202166602946818,26.0,34.0,50,0.2,300
177,29,0.12330412492156029,26.0,35.0,50,0.2,300
178,30,0.12457491597160697,26.0,36.0,50,0.2,300
179,31,0.12584133294876665,26.0,37.0,50,0.2,300
180,32,0.12710916600190103,26.0,38.0,50,0.2,300
181,33,0.12837837496772408,26.0,39.0,50,0.2,300
182,34,0.12965004099532962,26.0,40.0,50,0.2,300
183,35,0.13090862496756017,26.0,41.0,50,0.2,300
184,36,0.132177707972005,26.0,42.0,50,0.2,300
185,37,0.13344441598746926,26.0,43.0,50,0.2,300
186,38,0.13469454098958522,26.0,44.0,50,0.2,300
187,39,0.135949540999718,26.0,45.0,50,0.2,300
188,40,0.13721579092089087,26.0,46.0,50,0.2,300
189,41,0.1384765829425305,26.0,47.0,50,0.2,300
190,42,0.1403177499305457,26.0,48.0,50,0.2,300
191,43,0.14189854101277888,26.0,49.0,50,0.2,300
192,44,0.14321304101031274,26.0,50.0,50,0.2,300
193,45,0.14449854101985693,26.0,51.0,50,0.2,300
194,46,0.14579424995463341,26.0,52.0,50,0.2,300
195,47,0.14708820800296962,26.0,53.0,50,0.2,300
196,48,0.14836633298546076,26.0,54.0,50,0.2,300
197,49,0.14981466601602733,26.0,55.0,50,0.2,300
198,50,0.15131541597656906,26.0,56.0,50,0.2,300
199,51,0.15267416602000594,26.0,57.0,50,0.2,300
200,52,0.15397691598627716,26.0,58.0,50,0.2,300
201,53,0.15525795798748732,26.0,59.0,50,0.2,300
202,54,0.15652874996885657,26.0,60.0,50,0.2,300
203,55,0.15778870799113065,26.0,61.0,50,0.2,300
204,56,0.15906650002580136,26.0,62.0,50,0.2,300
205,57,0.16033708292525262,26.0,63.0,50,0.2,300
206,58,0.1616015830077231,26.0,64.0,50,0.2,300
207,59,0.16285762493498623,26.0,65.0,50,0.2,300
208,60,0.1641169999493286,26.0,66.0,50,0.2,300
209,61,0.16533391596749425,26.0,67.0,50,0.2,300
210,62,0.1665599999250844,26.0,68.0,50,0.2,300
211,63,0.16776958294212818,26.0,69.0,50,0.2,300
212,64,0.00016666599549353123,26.0,70.0,50,0.2,300
213,0,0.0002616249257698655,15.0,0.0,50,0.4,300
214,1,0.07672337500844151,21.0,2.0,50,0.4,300
215,2,0.07834374997764826,21.0,3.0,50,0.4,300
216,3,0.08001566596794873,21.0,4.0,50,0.4,300
217,4,0.08166391600389034,21.0,5.0,50,0.4,300
218,5,0.08328841591719538,23.0,7.0,50,0.4,300
219,6,0.08488987502641976,23.0,8.0,50,0.4,300
220,7,0.08638670796062797,23.0,9.0,50,0.4,300
221,8,0.0878386659314856,23.0,10.0,50,0.4,300
222,9,0.0893058329820633,24.0,12.0,50,0.4,300
223,10,0.09074791602324694,24.0,13.0,50,0.4,300
224,11,0.09218149993102998,25.0,15.0,50,0.4,300
225,12,0.0936230409424752,25.0,16.0,50,0.4,300
226,13,0.09508658293634653,25.0,17.0,50,0.4,300
227,14,0.09653795801568776,25.0,18.0,50,0.4,300
228,15,0.0979007079731673,25.0,19.0,50,0.4,300
229,16,0.09923687495756894,25.0,20.0,50,0.4,300
230,17,0.10055674996692687,25.0,21.0,50,0.4,300
231,18,0.10188508301507682,25.0,22.0,50,0.4,300
232,19,0.10321970796212554,25.0,23.0,50,0.4,300
233,20,0.10455283301416785,25.0,24.0,50,0.4,300
234,21,0.10589558293577284,26.0,26.0,50,0.4,300
235,22,0.10719633300323039,26.0,27.0,50,0.4,300
236,23,0.10846849996596575,26.0,28.0,50,0.4,300
237,24,0.11110241594724357,26.0,29.0,50,0.4,300
238,25,0.11533820792101324,26.0,30.0,50,0.4,300
239,26,0.11928212502971292,26.0,31.0,50,0.4,300
240,27,0.12072020792402327,26.0,32.0,50,0.4,300
241,28,0.12202166602946818,26.0,33.0,50,0.4,300
242,29,0.12330412492156029,26.0,34.0,50,0.4,300
243,30,0.12457491597160697,26.0,35.0,50,0.4,300
244,31,0.12584133294876665,26.0,36.0,50,0.4,300
245,32,0.12710916600190103,26.0,37.0,50,0.4,300
246,33,0.12837837496772408,26.0,38.0,50,0.4,300
247,34,0.12965004099532962,26.0,39.0,50,0.4,300
248,35,0.13090862496756017,26.0,40.0,50,0.4,300
249,36,0.132177707972005,26.0,41.0,50,0.4,300
250,37,0.13344441598746926,26.0,42.0,50,0.4,300
251,38,0.13469454098958522,26.0,43.0,50,0.4,300
252,39,0.135949540999718,26.0,44.0,50,0.4,300
253,40,0.13721579092089087,26.0,45.0,50,0.4,300
254,41,0.1384765829425305,26.0,46.0,50,0.4,300
255,42,0.1403177499305457,26.0,47.0,50,0.4,300
256,43,0.14189854101277888,26.0,48.0,50,0.4,300
257,44,0.14321304101031274,26.0,49.0,50,0.4,300
258,45,0.14449854101985693,26.0,50.0,50,0.4,300
259,46,0.14579424995463341,26.0,51.0,50,0.4,300
260,47,0.14708820800296962,26.0,52.0,50,0.4,300
261,48,0.14836633298546076,26.0,53.0,50,0.4,300
262,49,0.14981466601602733,26.0,54.0,50,0.4,300
263,50,0.15131541597656906,26.0,55.0,50,0.4,300
264,51,0.15267416602000594,26.0,56.0,50,0.4,300
265,52,0.15397691598627716,26.0,57.0,50,0.4,300
266,53,0.15525795798748732,26.0,58.0,50,0.4,300
267,54,0.15652874996885657,26.0,59.0,50,0.4,300
268,55,0.15778870799113065,26.0,60.0,50,0.4,300
269,56,0.15906650002580136,26.0,61.0,50,0.4,300
270,57,0.16033708292525262,26.0,62.0,50,0.4,300
271,58,0.1616015830077231,26.0,63.0,50,0.4,300
272,59,0.16285762493498623,26.0,64.0,50,0.4,300
273,60,0.1641169999493286,26.0,65.0,50,0.4,300
274,61,0.16533391596749425,26.0,66.0,50,0.4,300
275,62,0.1665599999250844,26.0,67.0,50,0.4,300
276,63,0.16776958294212818,26.0,68.0,50,0.4,300
277,64,0.00016666599549353123,26.0,69.0,50,0.4,300
278,65,0.03340512502472848,26.0,70.0,50,0.4,300
279,66,0.03470487496815622,26.0,71.0,50,0.4,300
280,67,0.0360284160124138,26.0,72.0,50,0.4,300
281,68,0.03729716595262289,26.0,73.0,50,0.4,300
282,69,0.03854383295401931,26.0,74.0,50,0.4,300
283,70,0.03981604101136327,26.0,75.0,50,0.4,300
284,71,0.04107420798391104,26.0,76.0,50,0.4,300
285,0,0.0002616249257698655,15.0,0.0,50,0.6,300
286,1,0.07672337500844151,21.0,2.0,50,0.6,300
287,2,0.07834374997764826,22.0,4.0,50,0.6,300
288,3,0.08001566596794873,22.0,5.0,50,0.6,300
289,4,0.08166391600389034,22.0,6.0,50,0.6,300
290,5,0.08328841591719538,22.0,7.0,50,0.6,300
291,6,0.08488987502641976,23.0,9.0,50,0.6,300
292,7,0.08638670796062797,23.0,10.0,50,0.6,300
293,8,0.0878386659314856,24.0,12.0,50,0.6,300
294,9,0.0893058329820633,25.0,14.0,50,0.6,300
295,10,0.09074791602324694,25.0,15.0,50,0.6,300
296,11,0.09218149993102998,25.0,16.0,50,0.6,300
297,12,0.0936230409424752,25.0,17.0,50,0.6,300
298,13,0.09508658293634653,25.0,18.0,50,0.6,300
299,14,0.09653795801568776,25.0,19.0,50,0.6,300
300,15,0.0979007079731673,26.0,21.0,50,0.6,300
301,16,0.09923687495756894,26.0,22.0,50,0.6,300
302,17,0.10055674996692687,26.0,23.0,50,0.6,300
303,18,0.10188508301507682,26.0,24.0,50,0.6,300
304,19,0.10321970796212554,26.0,25.0,50,0.6,300
305,20,0.10455283301416785,26.0,26.0,50,0.6,300
306,21,0.10589558293577284,26.0,27.0,50,0.6,300
307,22,0.10719633300323039,26.0,28.0,50,0.6,300
308,23,0.10846849996596575,26.0,29.0,50,0.6,300
309,24,0.11110241594724357,26.0,30.0,50,0.6,300
310,25,0.11533820792101324,26.0,31.0,50,0.6,300
311,26,0.11928212502971292,26.0,32.0,50,0.6,300
312,27,0.12072020792402327,26.0,33.0,50,0.6,300
313,28,0.12202166602946818,26.0,34.0,50,0.6,300
314,29,0.12330412492156029,26.0,35.0,50,0.6,300
315,30,0.12457491597160697,26.0,36.0,50,0.6,300
316,31,0.12584133294876665,26.0,37.0,50,0.6,300
317,32,0.12710916600190103,26.0,38.0,50,0.6,300
318,33,0.12837837496772408,26.0,39.0,50,0.6,300
319,34,0.12965004099532962,26.0,40.0,50,0.6,300
320,35,0.13090862496756017,26.0,41.0,50,0.6,300
321,36,0.132177707972005,26.0,42.0,50,0.6,300
322,37,0.13344441598746926,26.0,43.0,50,0.6,300
323,38,0.13469454098958522,26.0,44.0,50,0.6,300
324,39,0.135949540999718,26.0,45.0,50,0.6,300
325,40,0.13721579092089087,26.0,46.0,50,0.6,300
326,41,0.1384765829425305,26.0,47.0,50,0.6,300
327,42,0.1403177499305457,26.0,48.0,50,0.6,300
328,43,0.14189854101277888,26.0,49.0,50,0.6,300
329,44,0.14321304101031274,26.0,50.0,50,0.6,300
330,45,0.14449854101985693,26.0,51.0,50,0.6,300
331,46,0.14579424995463341,26.0,52.0,50,0.6,300
332,47,0.14708820800296962,26.0,53.0,50,0.6,300
333,48,0.14836633298546076,26.0,54.0,50,0.6,300
334,49,0.14981466601602733,26.0,55.0,50,0.6,300
335,50,0.15131541597656906,26.0,56.0,50,0.6,300
336,51,0.15267416602000594,26.0,57.0,50,0.6,300
337,52,0.15397691598627716,26.0,58.0,50,0.6,300
338,53,0.15525795798748732,26.0,59.0,50,0.6,300
339,54,0.15652874996885657,26.0,60.0,50,0.6,300
340,55,0.15778870799113065,26.0,61.0,50,0.6,300
341,56,0.15906650002580136,26.0,62.0,50,0.6,300
342,57,0.16033708292525262,26.0,63.0,50,0.6,300
343,58,0.1616015830077231,26.0,64.0,50,0.6,300
344,59,0.16285762493498623,26.0,65.0,50,0.6,300
345,60,0.1641169999493286,26.0,66.0,50,0.6,300
346,61,0.16533391596749425,26.0,67.0,50,0.6,300
347,62,0.1665599999250844,26.0,68.0,50,0.6,300
348,63,0.16776958294212818,26.0,69.0,50,0.6,300
349,64,0.00016666599549353123,26.0,70.0,50,0.6,300
350,65,0.03340512502472848,26.0,71.0,50,0.6,300
351,0,0.0002616249257698655,15.0,0.0,50,0.8,300
352,1,0.07672337500844151,21.0,2.0,50,0.8,300
353,2,0.07834374997764826,22.0,4.0,50,0.8,300
354,3,0.08001566596794873,22.0,5.0,50,0.8,300
355,4,0.08166391600389034,22.0,6.0,50,0.8,300
356,5,0.08328841591719538,23.0,8.0,50,0.8,300
357,6,0.08488987502641976,23.0,9.0,50,0.8,300
358,7,0.08638670796062797,24.0,11.0,50,0.8,300
359,8,0.0878386659314856,24.0,12.0,50,0.8,300
360,9,0.0893058329820633,24.0,13.0,50,0.8,300
361,10,0.09074791602324694,24.0,14.0,50,0.8,300
362,11,0.09218149993102998,24.0,15.0,50,0.8,300
363,12,0.0936230409424752,25.0,17.0,50,0.8,300
364,13,0.09508658293634653,25.0,18.0,50,0.8,300
365,14,0.09653795801568776,25.0,19.0,50,0.8,300
366,15,0.0979007079731673,25.0,20.0,50,0.8,300
367,16,0.09923687495756894,25.0,21.0,50,0.8,300
368,17,0.10055674996692687,25.0,22.0,50,0.8,300
369,18,0.10188508301507682,25.0,23.0,50,0.8,300
370,19,0.10321970796212554,26.0,25.0,50,0.8,300
371,20,0.10455283301416785,26.0,26.0,50,0.8,300
372,21,0.10589558293577284,26.0,27.0,50,0.8,300
373,22,0.10719633300323039,26.0,28.0,50,0.8,300
374,23,0.10846849996596575,26.0,29.0,50,0.8,300
375,24,0.11110241594724357,26.0,30.0,50,0.8,300
376,25,0.11533820792101324,26.0,31.0,50,0.8,300
377,26,0.11928212502971292,26.0,32.0,50,0.8,300
378,27,0.12072020792402327,26.0,33.0,50,0.8,300
379,28,0.12202166602946818,26.0,34.0,50,0.8,300
380,29,0.12330412492156029,26.0,35.0,50,0.8,300
