,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0003756249789148569,13.0,0.0,True,250,0.1,300
1,1,0.02211237500887364,23.0,2.0,True,250,0.1,300
2,2,0.02842975000385195,26.0,4.0,True,250,0.1,300
3,3,0.03404754202347249,28.0,6.0,True,250,0.1,300
4,4,0.04287408303935081,28.0,7.0,True,250,0.1,300
5,5,0.04997508297674358,28.0,8.0,True,250,0.1,300
6,6,0.055979707976803184,28.0,9.0,True,250,0.1,300
7,7,0.06415600003674626,28.0,10.0,True,250,0.1,300
8,8,0.07223054196219891,28.0,11.0,True,250,0.1,300
9,9,0.08021408296190202,28.0,12.0,True,250,0.1,300
10,10,0.08720620803069323,28.0,13.0,True,250,0.1,300
11,11,0.09661024995148182,28.0,14.0,True,250,0.1,300
12,12,0.10518933297134936,28.0,15.0,True,250,0.1,300
13,13,0.11215049994643778,28.0,16.0,True,250,0.1,300
14,14,0.11978924996219575,28.0,17.0,True,250,0.1,300
15,15,0.127220791997388,28.0,18.0,True,250,0.1,300
16,16,0.13520625000819564,28.0,19.0,True,250,0.1,300
17,17,0.1428139579948038,28.0,20.0,True,250,0.1,300
18,18,0.1502109169960022,28.0,21.0,True,250,0.1,300
19,19,0.15703195799142122,28.0,22.0,True,250,0.1,300
20,20,0.16439041693229228,28.0,23.0,True,250,0.1,300
21,21,0.17405000003054738,28.0,24.0,True,250,0.1,300
22,22,0.18259450001642108,28.0,25.0,True,250,0.1,300
23,23,0.19063954195007682,28.0,26.0,True,250,0.1,300
24,24,0.19776433298829943,28.0,27.0,True,250,0.1,300
25,25,0.20622904202900827,28.0,28.0,True,250,0.1,300
26,26,0.21712879196275026,28.0,29.0,True,250,0.1,300
27,27,0.22875858296174556,28.0,30.0,True,250,0.1,300
28,28,0.2404811669839546,28.0,31.0,True,250,0.1,300
29,29,0.2485363750020042,28.0,32.0,True,250,0.1,300
30,30,0.25668358302209526,28.0,33.0,True,250,0.1,300
31,31,0.2733781250426546,28.0,34.0,True,250,0.1,300
32,32,0.2804707499453798,28.0,35.0,True,250,0.1,300
33,33,0.2876560000004247,28.0,36.0,True,250,0.1,300
34,34,0.3001106670126319,28.0,37.0,True,250,0.1,300
35,35,0.31135729199741036,28.0,38.0,True,250,0.1,300
36,36,0.32107491698116064,28.0,39.0,True,250,0.1,300
37,37,0.33019474998582155,28.0,40.0,True,250,0.1,300
38,38,0.33678949996829033,28.0,41.0,True,250,0.1,300
39,39,0.34452166699338704,28.0,42.0,True,250,0.1,300
40,40,0.35191550001036376,28.0,43.0,True,250,0.1,300
41,41,0.3632762919878587,28.0,44.0,True,250,0.1,300
42,42,0.370882207993418,28.0,45.0,True,250,0.1,300
43,43,0.37838695803657174,28.0,46.0,True,250,0.1,300
44,44,0.38504895800724626,28.0,47.0,True,250,0.1,300
45,45,0.3942228750092909,28.0,48.0,True,250,0.1,300
46,46,0.40128216694574803,28.0,49.0,True,250,0.1,300
47,47,0.4085351669928059,28.0,50.0,True,250,0.1,300
48,48,0.41528512502554804,28.0,51.0,True,250,0.1,300
49,49,0.4222824169555679,28.0,52.0,True,250,0.1,300
50,50,0.43379166699014604,28.0,53.0,True,250,0.1,300
51,51,0.4427907080389559,28.0,54.0,True,250,0.1,300
52,52,0.4500017079990357,28.0,55.0,True,250,0.1,300
53,53,0.45857291703578085,28.0,56.0,True,250,0.1,300
54,54,0.4654021250316873,28.0,57.0,True,250,0.1,300
55,55,0.47203399997670203,28.0,58.0,True,250,0.1,300
56,56,0.4798837499693036,28.0,59.0,True,250,0.1,300
57,57,0.4863911250140518,28.0,60.0,True,250,0.1,300
58,58,0.49279583303723484,28.0,61.0,True,250,0.1,300
59,59,0.4992011249996722,28.0,62.0,True,250,0.1,300
60,60,0.5058626249665394,28.0,63.0,True,250,0.1,300
61,61,0.5128809580346569,28.0,64.0,True,250,0.1,300
62,62,0.5209802499739453,28.0,65.0,True,250,0.1,300
63,63,0.5280585419386625,28.0,66.0,True,250,0.1,300
64,64,0.5348887499421835,28.0,67.0,True,250,0.1,300
65,65,0.5434715829323977,28.0,68.0,True,250,0.1,300
66,66,0.5503724169684574,28.0,69.0,True,250,0.1,300
67,67,0.5594587499508634,28.0,70.0,True,250,0.1,300
68,68,0.5664510419592261,28.0,71.0,True,250,0.1,300
69,69,0.5761883329832926,28.0,72.0,True,250,0.1,300
