,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,53.0,5,0.006138166994787753,"[26, 1, 17, 14, 31, 8, 7, 13, 45, 17, 17, 21, 41, 34, 42, 18, 19, 13, 38, 40, 47, 10, 46, 13, 45, 2, 45, 42, 14, 11, 27, 29, 28, 9, 23, 25, 34, 15, 15, 29, 5, 37, 16, 43, 33, 33, 3, 6, 32, 20]",5,0.05,300
1,300,42.0,433,0.43078695808071643,"[35, 14, 40, 36, 12, 31, 40, 15, 33, 39, 24, 0, 11, 42, 7, 44, 47, 31, 1, 36, 19, 48, 26, 28, 22, 34, 22, 9, 1, 4, 21, 10, 18, 46, 37, 27, 7, 2, 28, 26, 47, 40, 12, 30, 8, 20, 42, 2, 20, 6]",5,0.05,300
2,0,53.0,5,0.006112625007517636,"[26, 1, 17, 14, 31, 8, 7, 13, 45, 17, 17, 21, 41, 34, 42, 18, 19, 13, 38, 40, 47, 10, 46, 13, 45, 2, 45, 42, 14, 11, 27, 29, 28, 9, 23, 25, 34, 15, 15, 29, 5, 37, 16, 43, 33, 33, 3, 6, 32, 20]",5,0.1,300
3,300,37.0,653,0.6338027080055326,"[35, 14, 40, 36, 12, 31, 40, 15, 33, 39, 46, 0, 11, 42, 7, 38, 5, 31, 1, 36, 19, 48, 19, 28, 22, 34, 22, 9, 1, 4, 21, 10, 18, 43, 37, 27, 7, 2, 28, 26, 47, 40, 12, 30, 8, 20, 42, 2, 20, 9]",5,0.1,300
4,0,53.0,5,0.005948583944700658,"[26, 1, 17, 14, 31, 8, 7, 13, 45, 17, 17, 21, 41, 34, 42, 18, 19, 13, 38, 40, 47, 10, 46, 13, 45, 2, 45, 42, 14, 11, 27, 29, 28, 9, 23, 25, 34, 15, 15, 29, 5, 37, 16, 43, 33, 33, 3, 6, 32, 20]",5,0.2,300
5,300,29.0,686,0.8232248750282452,"[35, 24, 13, 15, 12, 31, 40, 4, 33, 36, 39, 0, 14, 33, 17, 44, 5, 49, 1, 36, 19, 43, 26, 49, 5, 3, 22, 9, 1, 18, 21, 10, 18, 9, 37, 27, 7, 2, 38, 28, 47, 40, 12, 30, 8, 25, 39, 48, 20, 24]",5,0.2,300
6,0,53.0,5,0.005939000053331256,"[26, 1, 17, 14, 31, 8, 7, 13, 45, 17, 17, 21, 41, 34, 42, 18, 19, 13, 38, 40, 47, 10, 46, 13, 45, 2, 45, 42, 14, 11, 27, 29, 28, 9, 23, 25, 34, 15, 15, 29, 5, 37, 16, 43, 33, 33, 3, 6, 32, 20]",5,0.4,300
7,300,19.0,1159,1.1993597079999745,"[44, 37, 43, 23, 12, 33, 8, 15, 17, 47, 24, 12, 8, 34, 45, 11, 5, 31, 1, 36, 19, 48, 45, 28, 22, 49, 44, 9, 6, 4, 3, 0, 18, 46, 37, 46, 7, 4, 38, 26, 47, 21, 12, 30, 32, 29, 14, 2, 20, 39]",5,0.4,300
8,0,53.0,5,0.007894666981883347,"[26, 1, 17, 14, 31, 8, 7, 13, 45, 17, 17, 21, 41, 34, 42, 18, 19, 13, 38, 40, 47, 10, 46, 13, 45, 2, 45, 42, 14, 11, 27, 29, 28, 9, 23, 25, 34, 15, 15, 29, 5, 37, 16, 43, 33, 33, 3, 6, 32, 20]",5,0.6,300
9,300,14.0,953,1.0531878330511972,"[35, 13, 40, 39, 46, 11, 5, 15, 23, 29, 24, 12, 25, 31, 43, 10, 5, 31, 1, 17, 6, 48, 45, 38, 48, 34, 14, 9, 1, 4, 21, 10, 16, 30, 37, 27, 7, 2, 28, 26, 47, 19, 36, 30, 8, 22, 42, 49, 20, 6]",5,0.6,300
10,0,53.0,5,0.007348707993514836,"[26, 1, 17, 14, 31, 8, 7, 13, 45, 17, 17, 21, 41, 34, 42, 18, 19, 13, 38, 40, 47, 10, 46, 13, 45, 2, 45, 42, 14, 11, 27, 29, 28, 9, 23, 25, 34, 15, 15, 29, 5, 37, 16, 43, 33, 33, 3, 6, 32, 20]",5,0.8,300
11,300,8.0,1835,2.0221629999578,"[31, 14, 40, 22, 13, 0, 32, 25, 49, 39, 49, 0, 11, 24, 7, 19, 44, 38, 12, 5, 44, 48, 45, 33, 26, 21, 27, 9, 1, 34, 42, 10, 47, 18, 37, 23, 7, 49, 16, 30, 47, 6, 3, 41, 8, 29, 46, 2, 20, 17]",5,0.8,300
