Gamma,Iteration,Mean V,Difference,Times,Total Time,Total Iter,Changes,States
0.1,1,2.4,8.881784197001252e-16,0.001516103744506836,0.0015439987182617188,1,0,2
0.3,1,3.5428571428571427,2.220446049250313e-16,0.00028514862060546875,0.00030517578125,1,0,2
0.5,1,5.6,8.881784197001252e-16,0.0002200603485107422,0.00023603439331054688,1,0,2
0.7,1,10.4,1.7763568394002505e-15,0.00020575523376464844,0.0002200603485107422,1,0,2
0.9,1,34.40000000000003,0.0,0.00020003318786621094,0.00021505355834960938,1,0,2
0.95,1,70.39999999999996,0.0,0.00019598007202148438,0.0002090930938720703,1,0,2
0.99,1,358.4000000000008,0.0,0.0001919269561767578,0.00020599365234375,1,0,2
0.1,1,1.8325099976476125,0.0,0.00020694732666015625,0.0002219676971435547,1,0,3
0.3,1,2.295586339378811,0.400819760543631,0.00018596649169921875,0.00039505958557128906,2,1,3
0.3,2,2.4699047619047625,8.881784197001252e-16,0.0003819465637207031,0.00039505958557128906,2,0,3
0.5,1,3.086729362591431,2.0188087774294665,0.00017833709716796875,0.0003833770751953125,2,1,3
0.5,2,4.153333333333332,8.881784197001252e-16,0.0003712177276611328,0.0003833770751953125,2,0,3
0.7,1,4.74824517769303,5.152710993201791,0.0001761913299560547,0.00037932395935058594,2,1,3
0.7,2,8.305333333333332,1.7763568394002505e-15,0.0003662109375,0.00037932395935058594,2,0,3
0.9,1,10.891732092662599,14.1448095376563,0.00017595291137695312,0.00037407875061035156,2,1,3
0.9,2,29.73733333333335,7.105427357601002e-15,0.0003609657287597656,0.00037407875061035156,2,0,3
0.95,1,17.533847631440334,19.86838925550702,0.00017380714416503906,0.00037097930908203125,2,1,3
0.95,2,62.095333333333315,7.105427357601002e-15,0.00035881996154785156,0.00037097930908203125,2,0,3
0.99,1,58.085701301998505,27.845681378233003,0.0001857280731201172,0.0003838539123535156,2,1,3
0.99,2,321.2617333333339,5.684341886080802e-14,0.0003707408905029297,0.0003838539123535156,2,0,3
0.1,1,1.6266760762173607,0.0,0.000396728515625,0.00041294097900390625,1,0,4
0.3,1,1.9944681572337706,0.400819760543631,0.00019812583923339844,0.00041484832763671875,2,1,4
0.3,2,2.0946730973696783,8.881784197001252e-16,0.0004031658172607422,0.00041484832763671875,2,0,4
0.5,1,2.642633228840125,2.0188087774294665,0.00017786026000976562,0.0005929470062255859,3,1,4
0.5,2,3.1473354231974917,0.21880877742946692,0.0003750324249267578,0.0005929470062255859,3,1,4
0.5,3,3.2364999999999995,2.220446049250313e-16,0.0005800724029541016,0.0005929470062255859,3,0,4
0.7,1,4.036644005969159,5.152710993201791,0.00018405914306640625,0.0005822181701660156,3,1,4
0.7,2,5.324821754269607,2.6327109932017905,0.00037980079650878906,0.0005822181701660156,3,1,4
0.7,3,6.784659999999999,8.881784197001252e-16,0.0005691051483154297,0.0005822181701660156,3,0,4
0.9,1,9.425705146845015,14.1448095376563,0.00017404556274414062,0.0005650520324707031,3,1,4
0.9,2,12.96190753125909,10.904809537656298,0.0003650188446044922,0.0005650520324707031,3,1,4
0.9,3,25.845940000000024,0.0,0.0005528926849365234,0.0005650520324707031,3,0,4
0.95,1,15.589738823310705,19.86838925550702,0.0001819133758544922,0.0005619525909423828,3,1,4
0.95,2,20.556836137187446,16.448389255507028,0.00036787986755371094,0.0005619525909423828,3,1,4
0.95,3,54.90518499999999,7.105427357601002e-15,0.0005488395690917969,0.0005619525909423828,3,0,4
0.99,1,55.475962914626805,27.845681378233003,0.00016880035400390625,0.0005600452423095703,3,1,4
0.99,2,62.43738325918502,24.28168137823303,0.0003669261932373047,0.0005600452423095703,3,1,4
0.99,3,288.1028314000004,5.684341886080802e-14,0.0005481243133544922,0.0005600452423095703,3,0,4
0.1,1,1.5031757233592096,0.0,0.0004069805145263672,0.0004222393035888672,1,0,5
0.3,1,1.8137972479467463,0.400819760543631,0.00019097328186035156,0.0003979206085205078,2,1,5
0.3,2,1.8939612000554724,8.881784197001252e-16,0.00038504600524902344,0.0003979206085205078,2,0,5
0.5,1,2.3761755485893414,2.0188087774294665,0.00017595291137695312,0.0005788803100585938,3,1,5
0.5,2,2.7799373040752346,0.21880877742946692,0.0003669261932373047,0.0005788803100585938,3,1,5
0.5,3,2.823699059561128,1.1102230246251565e-16,0.0005669593811035156,0.0005788803100585938,3,0,5
0.7,1,3.609683302934836,5.152710993201791,0.00016689300537109375,0.0007071495056152344,4,1,5
0.7,2,4.640225501575195,2.6327109932017905,0.00034499168395996094,0.0007071495056152344,4,1,5
0.7,3,5.166767700215553,1.0451109932017908,0.0005218982696533203,0.0007071495056152344,4,1,5
0.7,4,5.6611052,0.0,0.0006949901580810547,0.0007071495056152344,4,0,5
0.9,1,8.546088979354465,14.1448095376563,0.00023317337036132812,0.0007991790771484375,4,1,5
0.9,2,11.375050886885726,10.904809537656298,0.0004210472106933594,0.0007991790771484375,4,1,5
0.9,3,13.556012794416983,8.2804095376563,0.0006029605865478516,0.0007991790771484375,4,1,5
0.9,4,22.589939600000015,3.552713678800501e-15,0.0007860660552978516,0.0007991790771484375,4,0,5
0.95,1,14.423273538432928,19.86838925550702,0.00017786026000976562,0.0007166862487792969,4,1,5
0.95,2,18.396951389534337,16.448389255507003,0.0003559589385986328,0.0007166862487792969,4,1,5
0.95,3,21.68662924063567,13.52428925550701,0.0005319118499755859,0.0007166862487792969,4,1,5
0.95,4,48.67434844999998,7.105427357601002e-15,0.0007050037384033203,0.0007166862487792969,4,0,5
0.99,1,53.91011988220379,27.845681378233003,0.000164031982421875,0.0007359981536865234,4,1,5
0.99,2,59.479256157850344,24.28168137823303,0.00034809112548828125,0.0007359981536865234,4,1,5
0.99,3,64.33559243349677,21.106157378233178,0.0005290508270263672,0.0007359981536865234,4,1,5
0.99,4,258.4932447716001,5.684341886080802e-14,0.0007011890411376953,0.0007359981536865234,4,0,5
0.1,1,1.4208421547871088,0.0,0.00039005279541015625,0.0004050731658935547,1,0,6
0.3,1,1.6933499750887304,0.400819760543631,0.00018095970153808594,0.0003800392150878906,2,1,6
0.3,2,1.7601532685126688,8.881784197001252e-16,0.0003669261932373047,0.0003800392150878906,2,0,6
0.5,1,2.198537095088819,2.0188087774294665,0.0001690387725830078,0.0005419254302978516,3,1,6
0.5,2,2.5350052246603965,0.21880877742946692,0.0003509521484375,0.0005419254302978516,3,1,6
0.5,3,2.5714733542319745,1.1102230246251565e-16,0.000530242919921875,0.0005419254302978516,3,0,6
0.7,1,3.325042834245288,5.152710993201791,0.00023603439331054688,0.0009641647338867188,5,1,6
0.7,2,4.18382799977892,2.6327109932017905,0.0004210472106933594,0.0009641647338867188,5,1,6
0.7,3,4.6226131653125515,1.0451109932017908,0.0006020069122314453,0.0009641647338867188,5,1,6
0.7,4,4.796798330846183,0.04492299320179094,0.0007829666137695312,0.0009641647338867188,5,1,6
0.7,5,4.815606090666666,8.881784197001252e-16,0.0009520053863525391,0.0009641647338867188,5,0,6
0.9,1,7.959678201027432,14.1448095376563,0.0001609325408935547,0.0008597373962402344,5,1,6
0.9,2,10.317146457303481,10.904809537656298,0.0003368854522705078,0.0008597373962402344,5,1,6
0.9,3,12.134614713579532,8.2804095376563,0.0005078315734863281,0.0008597373962402344,5,1,6
0.9,4,13.514682969855583,6.1546455376563,0.0006809234619140625,0.0008597373962402344,5,1,6
0.9,5,19.858070970666677,3.552713678800501e-15,0.0008478164672851562,0.0008597373962402344,5,0,6
0.95,1,13.645630015181078,19.86838925550702,0.00016307830810546875,0.0008571147918701172,5,1,6
0.95,2,16.957028224432253,16.448389255507003,0.0003361701965332031,0.0008571147918701172,5,1,6
0.95,3,19.698426433683395,13.52428925550702,0.0005061626434326172,0.0008571147918701172,5,1,6
0.95,4,21.952474642934572,11.024183755506979,0.0006761550903320312,0.0008571147918701172,5,1,6
0.95,5,43.26957129816666,7.105427357601002e-15,0.0008449554443359375,0.0008571147918701172,5,0,6
0.99,1,52.866224527255106,27.845681378233003,0.00016689300537109375,0.0008628368377685547,5,1,6
0.99,2,57.507171423627234,24.28168137823303,0.0003399848937988281,0.0008628368377685547,5,1,6
0.99,3,61.55411831999919,21.106157378233178,0.0005118846893310547,0.0008628368377685547,5,1,6
0.99,4,65.07181121637147,18.27676549423282,0.000682830810546875,0.0008628368377685547,5,1,6
0.99,5,232.04955922271736,2.842170943040401e-14,0.0008509159088134766,0.0008628368377685547,5,0,6
0.1,1,1.362032462949894,0.0,0.00041294097900390625,0.0004279613494873047,1,0,7
0.3,1,1.607316208761576,0.400819760543631,0.00017690658569335938,0.00036978721618652344,2,1,7
0.3,2,1.6645761745535235,8.881784197001252e-16,0.0003578662872314453,0.00036978721618652344,2,0,7
0.5,1,2.0716524854455884,2.0188087774294665,0.00016427040100097656,0.0005271434783935547,3,1,7
0.5,2,2.3600537393640835,0.21880877742946692,0.0003421306610107422,0.0005271434783935547,3,1,7
0.5,3,2.391312136139722,1.1102230246251565e-16,0.0005152225494384766,0.0005271434783935547,3,0,7
0.7,1,3.1217282137527533,5.152710993201791,0.00016498565673828125,0.0008640289306640625,5,1,7
0.7,2,3.857829784210152,2.6327109932017905,0.0003368854522705078,0.0008640289306640625,5,1,7
0.7,3,4.2339313546675506,1.0451109932017908,0.0005090236663818359,0.0008640289306640625,5,1,7
0.7,4,4.3832329251249496,0.04492299320179094,0.0006799697875976562,0.0008640289306640625,5,1,7
0.7,5,4.389650495582348,0.0,0.0008521080017089844,0.0008640289306640625,5,0,7
0.9,1,7.5408133593652655,14.1448095376563,0.00017786026000976562,0.001035928726196289,6,1,7
0.9,2,9.561500436173308,10.904809537656298,0.00034999847412109375,0.001035928726196289,6,1,7
0.9,3,11.119330370124207,8.2804095376563,0.0005190372467041016,0.001035928726196289,6,1,7
0.9,4,12.302246018360822,6.1546455376563,0.0006890296936035156,0.001035928726196289,6,1,7
0.9,5,13.181481095168865,4.4327766976562994,0.0008578300476074219,0.001035928726196289,6,1,7
0.9,6,17.559164711011444,1.7763568394002505e-15,0.001024007797241211,0.001035928726196289,6,0,7
0.95,1,13.09017035571547,19.86838925550702,0.0001652240753173828,0.0010411739349365234,6,1,7
0.95,2,15.928511677930768,16.448389255507003,0.0003361701965332031,0.0010411739349365234,6,1,7
0.95,3,18.278281571574592,13.52428925550702,0.0005221366882324219,0.0010411739349365234,6,1,7
0.95,4,20.210322893789872,11.024183755507002,0.0006940364837646484,0.0010411739349365234,6,1,7
0.95,5,21.78520628743376,8.886593553006946,0.0008661746978759766,0.0010411739349365234,6,1,7
0.95,6,38.57642480584054,7.105427357601002e-15,0.0010302066802978516,0.0010411739349365234,6,0,7
0.99,1,52.12058498800605,27.845681378233003,0.00015687942504882812,0.0009946823120117188,6,1,7
0.99,2,56.09853947061072,24.28168137823303,0.0003237724304199219,0.0009946823120117188,6,1,7
0.99,3,59.56735109607236,21.106157378233178,0.0004899501800537109,0.0009946823120117188,6,1,7
0.99,4,62.58251643582008,18.27676549423282,0.0006537437438964844,0.0009946823120117188,6,1,7
0.99,5,65.19348293499617,15.755777325589108,0.0008199214935302734,0.0009946823120117188,6,1,7
0.99,6,208.42992984952565,2.842170943040401e-14,0.0009827613830566406,0.0009946823120117188,6,0,7
0.1,1,1.317925194071983,0.0,0.00043892860412597656,0.000453948974609375,1,0,8
0.3,1,1.5427908840162103,0.400819760543631,0.00017499923706054688,0.0003628730773925781,2,1,8
0.3,2,1.5928933540841643,8.881784197001252e-16,0.00035119056701660156,0.0003628730773925781,2,0,8
0.5,1,1.9764890282131657,2.0188087774294665,0.0001628398895263672,0.0005297660827636719,3,1,8
0.5,2,2.228840125391849,0.21880877742946692,0.00034880638122558594,0.0005297660827636719,3,1,8
0.5,3,2.2561912225705325,1.1102230246251565e-16,0.000518798828125,0.0005297660827636719,3,0,8
0.7,1,2.9692422483833525,5.152710993201791,0.00015497207641601562,0.0008561611175537109,5,1,8
0.7,2,3.6133311225335767,2.6327109932017905,0.00032591819763183594,0.0008561611175537109,5,1,8
0.7,3,3.9424199966838005,1.0451109932017908,0.0004930496215820312,0.0008561611175537109,5,1,8
0.7,4,4.073058870834024,0.04492299320179094,0.0006580352783203125,0.0008561611175537109,5,1,8
0.7,5,4.0786742449842475,0.0,0.000843048095703125,0.0008561611175537109,5,0,8
0.9,1,7.2266647281186405,14.1448095376563,0.0002651214599609375,0.001332998275756836,7,1,8
0.9,2,8.994765920325678,10.904809537656298,0.0004489421844482422,0.001332998275756836,7,1,8
0.9,3,10.357867112532716,8.2804095376563,0.0006208419799804688,0.001332998275756836,7,1,8
0.9,4,11.392918304739753,6.1546455376563,0.0007970333099365234,0.001332998275756836,7,1,8
0.9,5,12.16224899694679,4.4327766976562994,0.0009660720825195312,0.001332998275756836,7,1,8
0.9,6,12.716346084153828,3.0380629372562993,0.0011320114135742188,0.001332998275756836,7,1,8
0.9,7,15.618455704967912,3.552713678800501e-15,0.001322031021118164,0.001332998275756836,7,0,8
0.95,1,12.673575611116263,19.86838925550702,0.00017523765563964844,0.0012233257293701172,7,1,8
0.95,2,15.15712426805465,16.448389255507003,0.0003712177276611328,0.0012233257293701172,7,1,8
0.95,3,17.213172924992996,13.52428925550702,0.0005431175231933594,0.0012233257293701172,7,1,8
0.95,4,18.90370908193136,11.024183755507002,0.0007092952728271484,0.0012233257293701172,7,1,8
0.95,5,20.281732051369772,8.886593553006998,0.0008833408355712891,0.0012233257293701172,7,1,8
0.95,6,21.392556245495612,7.058953929869535,0.0010492801666259766,0.0012233257293701172,7,1,8
0.95,7,34.49662184705718,7.105427357601002e-15,0.0012123584747314453,0.0012233257293701172,7,0,8
0.99,1,51.56135533356926,27.845681378233003,0.00016999244689941406,0.0011839866638183594,7,1,8
0.99,2,55.04206550584834,24.28168137823303,0.0003399848937988281,0.0011839866638183594,7,1,8
0.99,3,58.07727567812725,21.106157378233178,0.0005059242248535156,0.0011839866638183594,7,1,8
0.99,4,60.71554535040654,18.27676549423282,0.0006721019744873047,0.0011839866638183594,7,1,8
0.99,5,63.00014103718558,15.755777325589108,0.0008368492126464844,0.0011839866638183594,7,1,8
0.99,6,64.96961320288445,13.509576867327013,0.0010042190551757812,0.0011839866638183594,7,1,8
0.99,7,187.32956602390533,2.842170943040401e-14,0.0011720657348632812,0.0011839866638183594,7,0,8
0.1,1,1.2836195405002744,0.0,0.0007863044738769531,0.0008001327514648438,1,0,9
0.3,1,1.4926045203253702,0.400819760543631,0.0001800060272216797,0.00037384033203125,2,1,9
0.3,2,1.5371400492746627,8.881784197001252e-16,0.0003619194030761719,0.00037384033203125,2,0,9
0.5,1,1.9024730059212815,2.0188087774294665,0.00016617774963378906,0.0005211830139160156,3,1,9
0.5,2,2.1267850923023333,0.21880877742946692,0.0003383159637451172,0.0005211830139160156,3,1,9
0.5,3,2.151097178683385,1.1102230246251565e-16,0.0005092620849609375,0.0005211830139160156,3,0,9
0.7,1,2.8506420530960406,5.152710993201791,0.000164031982421875,0.0008499622344970703,5,1,9
0.7,2,3.4231654967851286,2.6327109932017905,0.00033402442932128906,0.0008499622344970703,5,1,9
0.7,3,3.715688940474217,1.0451109932017908,0.0005059242248535156,0.0008499622344970703,5,1,9
0.7,4,3.8318123841633045,0.04492299320179094,0.0006730556488037109,0.0008499622344970703,5,1,9
0.7,5,3.8368038278523926,0.0,0.0008389949798583984,0.0008499622344970703,5,0,9
0.9,1,6.98232690381571,14.1448095376563,0.00015878677368164062,0.0013377666473388672,8,1,9
0.9,2,8.553972407999744,10.904809537656298,0.00032782554626464844,0.0013377666473388672,8,1,9
0.9,3,9.765617912183778,8.2804095376563,0.0004940032958984375,0.0013377666473388672,8,1,9
0.9,4,10.68566341636781,6.1546455376563,0.0006659030914306641,0.0013377666473388672,8,1,9
0.9,5,11.369512920551843,4.4327766976562994,0.0008318424224853516,0.0013377666473388672,8,1,9
0.9,6,11.862043664735875,3.0380629372562993,0.0009968280792236328,0.0013377666473388672,8,1,9
0.9,7,12.19960621331991,1.9083447913322988,0.0011639595031738281,0.0013377666473388672,8,1,9
0.9,8,13.974578907569098,1.7763568394002505e-15,0.0013260841369628906,0.0013377666473388672,8,0,9
0.95,1,12.349557476427991,19.86838925550702,0.00016498565673828125,0.0013742446899414062,8,1,9
0.95,2,14.557156282595448,16.448389255507003,0.0003371238708496094,0.0013742446899414062,8,1,9
0.95,3,16.384755088762866,13.52428925550702,0.0005102157592773438,0.0013742446899414062,8,1,9
0.95,4,17.8874538949303,11.024183755507002,0.0006830692291259766,0.0013742446899414062,8,1,9
0.95,5,19.11236320109778,8.886593553006998,0.0008511543273925781,0.0013742446899414062,8,1,9
0.95,6,20.099762484765275,7.058953929869434,0.0010221004486083984,0.0013742446899414062,8,1,9
0.95,7,20.884090699195117,5.496322052087013,0.0011930465698242188,0.0013742446899414062,8,1,9
0.95,8,30.94571891799059,1.4210854715202004e-14,0.0013630390167236328,0.0013742446899414062,8,0,9
0.99,1,51.126398935673976,27.845681378233003,0.00015878677368164062,0.0013301372528076172,8,1,9
0.99,2,54.22036353325537,24.28168137823303,0.00032711029052734375,0.0013301372528076172,8,1,9
0.99,3,56.918328130836585,21.106157378233178,0.0004930496215820312,0.0013301372528076172,8,1,9
0.99,4,59.26345672841823,18.27676549423282,0.0006592273712158203,0.0013301372528076172,8,1,9
0.99,5,61.29420844999956,15.755777325589108,0.0008249282836914062,0.0013301372528076172,8,1,9
0.99,6,63.04485037506528,13.509576867327013,0.0009908676147460938,0.0013301372528076172,8,1,9
0.99,7,64.54591447143486,11.508212259016204,0.0011560916900634766,0.0013301372528076172,8,1,9
0.99,8,168.4767072516328,2.842170943040401e-14,0.0013179779052734375,0.0013301372528076172,8,0,9
0.1,1,1.2561750176429076,0.0,0.00017905235290527344,0.00019216537475585938,1,0,10
0.3,1,1.4524554293726983,0.400819760543631,0.000164031982421875,0.00034999847412109375,2,1,10
0.3,2,1.4925374054270613,8.881784197001252e-16,0.0003380775451660156,0.00034999847412109375,2,0,10
0.5,1,1.8432601880877741,2.0188087774294665,0.0001590251922607422,0.0005087852478027344,3,1,10
0.5,2,2.0451410658307205,0.21880877742946692,0.00032901763916015625,0.0005087852478027344,3,1,10
0.5,3,2.067021943573667,1.1102230246251565e-16,0.0004978179931640625,0.0005087852478027344,3,0,10
0.7,1,2.7557618968661908,5.152710993201791,0.00015616416931152344,0.0008440017700195312,5,1,10
0.7,2,3.2710329961863707,2.6327109932017905,0.0003261566162109375,0.0008440017700195312,5,1,10
0.7,3,3.534304095506549,1.0451109932017908,0.0004940032958984375,0.0008440017700195312,5,1,10
0.7,4,3.6388151948267278,0.04492299320179094,0.0006661415100097656,0.0008440017700195312,5,1,10
0.7,5,3.6433074941469075,0.0,0.0008330345153808594,0.0008440017700195312,5,0,10
0.9,1,6.7868566443733656,14.1448095376563,0.0001590251922607422,0.0015020370483398438,9,1,10
0.9,2,8.201337598138995,10.904809537656298,0.00032830238342285156,0.0015020370483398438,9,1,10
0.9,3,9.291818551904624,8.2804095376563,0.0004951953887939453,0.0015020370483398438,9,1,10
0.9,4,10.119859505670256,6.1546455376563,0.0006611347198486328,0.0015020370483398438,9,1,10
0.9,5,10.735324059435886,4.4327766976562994,0.0008273124694824219,0.0015020370483398438,9,1,10
0.9,6,11.178601729201516,3.0380629372562993,0.0009932518005371094,0.0015020370483398438,9,1,10
0.9,7,11.482408022927146,1.9083447913322988,0.0011603832244873047,0.0015020370483398438,9,1,10
0.9,8,11.673242502060376,0.9932730931338591,0.0013260841369628906,0.0015020370483398438,9,1,10
0.9,9,12.577121016812187,1.7763568394002505e-15,0.0014903545379638672,0.0015020370483398438,9,0,10
0.95,1,12.090342968677373,19.86838925550702,0.0001652240753173828,0.0016851425170898438,9,1,10
0.95,2,14.077181894228087,16.448389255507003,0.0003371238708496094,0.0016851425170898438,9,1,10
0.95,3,15.722020819778757,13.52428925550702,0.0005052089691162109,0.0016851425170898438,9,1,10
0.95,4,17.07444974532945,11.024183755507002,0.0006771087646484375,0.0016851425170898438,9,1,10
0.95,5,18.17686812088018,8.886593553006998,0.0008471012115478516,0.0016851425170898438,9,1,10
0.95,6,19.06552747618094,7.058953929869434,0.0010139942169189453,0.0016851425170898438,9,1,10
0.95,7,19.771422869167864,5.496322052086947,0.0011820793151855469,0.0016851425170898438,9,1,10
0.95,8,20.321055074376478,4.160271796582917,0.0014700889587402344,0.0016851425170898438,9,1,10
0.95,9,27.85114702619153,7.105427357601002e-15,0.0016720294952392578,0.0016851425170898438,9,0,10
0.99,1,50.77843381735775,27.845681378233003,0.00017905235290527344,0.0015981197357177734,9,1,10
0.99,2,53.563001955180994,24.28168137823303,0.0003731250762939453,0.0015981197357177734,9,1,10
0.99,3,55.991170093004065,21.106157378233178,0.000553131103515625,0.0015981197357177734,9,1,10
0.99,4,58.10178583082758,18.27676549423282,0.0007259845733642578,0.0015981197357177734,9,1,10
0.99,5,59.92946238025074,15.755777325589108,0.0008981227874755859,0.0015981197357177734,9,1,10
0.99,6,61.50504011280994,13.509576867327013,0.0010700225830078125,0.0015981197357177734,9,1,10
0.99,7,62.85599779954249,11.508212259016204,0.0012412071228027344,0.0015981197357177734,9,1,10
0.99,8,64.00681902544433,9.724996393010564,0.0014121532440185547,0.0015981197357177734,9,1,10
0.99,9,151.62903652646952,2.842170943040401e-14,0.0015859603881835938,0.0015981197357177734,9,0,10
0.1,1,1.2337204080323347,0.0,0.00019311904907226562,0.0002079010009765625,1,0,11
0.3,1,1.419606173138694,0.400819760543631,0.00016570091247558594,0.00035500526428222656,2,1,11
0.3,2,1.4560443331881148,8.881784197001252e-16,0.0003428459167480469,0.00035500526428222656,2,0,11
0.5,1,1.794813337133086,2.0188087774294665,0.0001609325408935547,0.0005190372467041016,3,1,11
0.5,2,1.9783414078084922,0.21880877742946692,0.0003337860107421875,0.0005190372467041016,3,1,11
0.5,3,1.9982331148475347,1.1102230246251565e-16,0.0005078315734863281,0.0005190372467041016,3,0,11
0.7,1,2.6781326781326777,5.152710993201791,0.00015997886657714844,0.0008530616760253906,5,1,11
0.7,2,3.1465609502419314,2.6327109932017905,0.00033092498779296875,0.0008530616760253906,5,1,11
0.7,3,3.385898313260276,1.0451109932017908,0.0005009174346923828,0.0008530616760253906,5,1,11
0.7,4,3.4809084035513482,0.04492299320179094,0.0006730556488037109,0.0008530616760253906,5,1,11
0.7,5,3.484992312024238,0.0,0.0008409023284912109,0.0008530616760253906,5,0,11
0.9,1,6.626926432102357,14.1448095376563,0.00016689300537109375,0.0016961097717285156,10,1,11
0.9,2,7.912818208252929,10.904809537656298,0.00033593177795410156,0.0016961097717285156,10,1,11
0.9,3,8.904164529858049,8.2804095376563,0.0005052089691162109,0.0016961097717285156,10,1,11
0.9,4,9.656929033281346,6.1546455376563,0.0006730556488037109,0.0016961097717285156,10,1,11
0.9,5,10.216442263977376,4.4327766976562994,0.0008461475372314453,0.0016961097717285156,10,1,11
0.9,6,10.619421963764312,3.0380629372562993,0.0010151863098144531,0.0016961097717285156,10,1,11
0.9,7,10.895609503514883,1.9083447913322988,0.0011839866638183594,0.0016961097717285156,10,1,11
0.9,8,11.069095393636003,0.9932730931338591,0.001352071762084961,0.0016961097717285156,10,1,11
0.9,9,11.159392947557262,0.2520650175931216,0.001519918441772461,0.0016961097717285156,10,1,11
0.9,10,11.38462449827752,1.7763568394002505e-15,0.0016851425170898438,0.0016961097717285156,10,0,11
0.95,1,11.878258371426869,19.86838925550702,0.00016307830810546875,0.0017070770263671875,10,1,11
0.95,2,13.684475576472972,16.448389255507003,0.0003418922424316406,0.0017070770263671875,10,1,11
0.95,3,15.179783690609941,13.52428925550702,0.000514984130859375,0.0017070770263671875,10,1,11
0.95,4,16.409264532019662,11.024183755507002,0.0006840229034423828,0.0017070770263671875,10,1,11
0.95,5,17.41146305524761,8.886593553006998,0.0008518695831298828,0.0017070770263671875,10,1,11
0.95,6,18.219335196430123,7.058953929869434,0.0010259151458740234,0.0017070770263671875,10,1,11
0.95,7,18.86105828096368,5.496322052086947,0.0011959075927734375,0.0017070770263671875,10,1,11
0.95,8,19.360723922062565,4.160271796582785,0.0013632774353027344,0.0017070770263671875,10,1,11
0.95,9,19.738930449024487,3.0179488281269293,0.0015311241149902344,0.0017070770263671875,10,1,11
0.95,10,25.15052423633259,7.105427357601002e-15,0.0016949176788330078,0.0017070770263671875,10,0,11
0.99,1,50.493735084189936,27.845681378233003,0.00018405914306640625,0.0018062591552734375,10,1,11
0.99,2,53.025160664029244,24.28168137823303,0.0003540515899658203,0.0018062591552734375,10,1,11
0.99,3,55.23258624386836,21.106157378233178,0.0005550384521484375,0.0018062591552734375,10,1,11
0.99,4,57.151327823707966,18.27676549423282,0.0007371902465820312,0.0018062591552734375,10,1,11
0.99,5,58.81285195954718,15.755777325589108,0.0009312629699707031,0.0018062591552734375,10,1,11
0.99,6,60.245195352782844,13.509576867327013,0.0011022090911865234,0.0018062591552734375,10,1,11
0.99,7,61.47333870435785,11.508212259016204,0.0012691020965576172,0.0018062591552734375,10,1,11
0.99,8,62.5195398188141,9.724996393010564,0.0014548301696777344,0.0018062591552734375,10,1,11
