,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,7.0,5,0.00162041699513793,"[2, 5, 8, 4, 1, 4, 3, 0, 2, 4]",5,0.05,300
1,300,5.0,348,0.0965495000127703,"[1, 1, 9, 6, 3, 9, 2, 7, 5, 1]",5,0.05,300
2,0,7.0,5,0.0015845000743865967,"[2, 5, 8, 4, 1, 4, 3, 0, 2, 4]",5,0.1,300
3,300,3.0,644,0.2470532919978723,"[1, 9, 0, 6, 3, 9, 2, 7, 5, 2]",5,0.1,300
4,0,7.0,5,0.00146116700489074,"[2, 5, 8, 4, 1, 4, 3, 0, 2, 4]",5,0.2,300
5,300,3.0,795,0.18071524996776134,"[2, 6, 8, 1, 2, 4, 2, 7, 5, 3]",5,0.2,300
6,0,7.0,5,0.001487958012148738,"[2, 5, 8, 4, 1, 4, 3, 0, 2, 4]",5,0.4,300
7,300,2.0,526,0.32108237501233816,"[8, 3, 9, 6, 3, 0, 4, 7, 5, 1]",5,0.4,300
8,0,7.0,5,0.0027702089864760637,"[2, 5, 8, 4, 1, 4, 3, 0, 2, 4]",5,0.6,300
9,300,2.0,424,0.17031816695816815,"[1, 7, 4, 6, 2, 9, 6, 0, 5, 8]",5,0.6,300
10,0,7.0,5,0.001389582990668714,"[2, 5, 8, 4, 1, 4, 3, 0, 2, 4]",5,0.8,300
11,300,1.0,556,0.2088867500424385,"[3, 0, 9, 4, 8, 0, 2, 7, 5, 1]",5,0.8,300
