,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0015311670722439885,104.0,0.0,True,250,0.1,300
1,1,0.09396995906718075,124.0,2.0,True,250,0.1,300
2,2,0.147991459001787,124.0,3.0,True,250,0.1,300
3,3,0.20319162507075816,130.0,5.0,True,250,0.1,300
4,4,0.25586712500080466,130.0,6.0,True,250,0.1,300
5,5,0.31627291708718985,136.0,8.0,True,250,0.1,300
6,6,0.38188025006093085,140.0,10.0,True,250,0.1,300
7,7,0.4327569999732077,148.0,12.0,True,250,0.1,300
8,8,0.48129370901733637,151.0,14.0,True,250,0.1,300
9,9,0.5501459999941289,155.0,16.0,True,250,0.1,300
10,10,0.6147047090344131,155.0,17.0,True,250,0.1,300
11,11,0.6825814170297235,155.0,18.0,True,250,0.1,300
12,12,0.7459917500382289,155.0,19.0,True,250,0.1,300
13,13,1.101701750070788,155.0,20.0,True,250,0.1,300
14,14,1.2217163339955732,155.0,21.0,True,250,0.1,300
15,15,1.5922997500747442,155.0,22.0,True,250,0.1,300
16,16,1.9235060000792146,155.0,23.0,True,250,0.1,300
17,17,2.134559708996676,155.0,24.0,True,250,0.1,300
18,18,2.301707167061977,155.0,25.0,True,250,0.1,300
19,19,2.5478716250509024,155.0,26.0,True,250,0.1,300
20,20,2.69475104205776,155.0,27.0,True,250,0.1,300
21,21,2.8578966669738293,155.0,28.0,True,250,0.1,300
22,22,3.007720833993517,155.0,29.0,True,250,0.1,300
23,23,3.1676310000475496,155.0,30.0,True,250,0.1,300
24,24,3.319840250071138,155.0,31.0,True,250,0.1,300
25,25,3.4854168749880046,155.0,32.0,True,250,0.1,300
26,26,3.6243782499805093,155.0,33.0,True,250,0.1,300
27,27,3.849551292019896,155.0,34.0,True,250,0.1,300
28,28,3.9973201249958947,155.0,35.0,True,250,0.1,300
29,29,4.150102750048973,155.0,36.0,True,250,0.1,300
30,30,4.300808500032872,155.0,37.0,True,250,0.1,300
31,31,4.4499998340616,155.0,38.0,True,250,0.1,300
32,32,4.590312791988254,155.0,39.0,True,250,0.1,300
33,33,4.7292797500267625,155.0,40.0,True,250,0.1,300
34,34,4.8776524170534685,155.0,41.0,True,250,0.1,300
35,35,5.041424583992921,155.0,42.0,True,250,0.1,300
36,36,5.185590667068027,155.0,43.0,True,250,0.1,300
37,37,5.333384625031613,155.0,44.0,True,250,0.1,300
38,38,5.466453834087588,155.0,45.0,True,250,0.1,300
39,39,5.619616916985251,155.0,46.0,True,250,0.1,300
40,40,5.7583448339719325,155.0,47.0,True,250,0.1,300
41,41,5.905554792028852,155.0,48.0,True,250,0.1,300
42,42,6.069302625022829,155.0,49.0,True,250,0.1,300
43,43,6.240327459061518,155.0,50.0,True,250,0.1,300
44,44,6.399064874975011,155.0,51.0,True,250,0.1,300
45,45,6.531064667040482,155.0,52.0,True,250,0.1,300
46,46,6.672039792058058,155.0,53.0,True,250,0.1,300
47,47,6.827134125051089,155.0,54.0,True,250,0.1,300
48,48,6.987948999973014,155.0,55.0,True,250,0.1,300
49,49,7.14584916702006,155.0,56.0,True,250,0.1,300
50,50,7.309369708993472,155.0,57.0,True,250,0.1,300
51,51,7.475762875052169,155.0,58.0,True,250,0.1,300
52,52,7.630924417055212,155.0,59.0,True,250,0.1,300
53,53,7.787436124985106,155.0,60.0,True,250,0.1,300
54,54,7.940803500008769,155.0,61.0,True,250,0.1,300
55,55,8.111841542064212,155.0,62.0,True,250,0.1,300
56,56,8.288905375055037,155.0,63.0,True,250,0.1,300
57,57,8.425633750041015,155.0,64.0,True,250,0.1,300
58,58,8.59219366707839,155.0,65.0,True,250,0.1,300
59,59,8.733970709028654,155.0,66.0,True,250,0.1,300
60,0,0.0015311670722439885,104.0,0.0,True,250,0.2,300
61,1,0.09396995906718075,120.0,2.0,True,250,0.2,300
62,2,0.147991459001787,120.0,3.0,True,250,0.2,300
63,3,0.20319162507075816,122.0,5.0,True,250,0.2,300
64,4,0.25586712500080466,127.0,7.0,True,250,0.2,300
65,5,0.31627291708718985,132.0,9.0,True,250,0.2,300
66,6,0.38188025006093085,132.0,10.0,True,250,0.2,300
67,7,0.4327569999732077,132.0,11.0,True,250,0.2,300
68,8,0.48129370901733637,136.0,13.0,True,250,0.2,300
69,9,0.5501459999941289,142.0,15.0,True,250,0.2,300
70,10,0.6147047090344131,146.0,17.0,True,250,0.2,300
71,11,0.6825814170297235,150.0,19.0,True,250,0.2,300
72,12,0.7459917500382289,154.0,21.0,True,250,0.2,300
73,13,1.101701750070788,156.0,23.0,True,250,0.2,300
74,14,1.2217163339955732,162.0,25.0,True,250,0.2,300
75,15,1.5922997500747442,164.0,27.0,True,250,0.2,300
76,16,1.9235060000792146,164.0,28.0,True,250,0.2,300
77,17,2.134559708996676,166.0,30.0,True,250,0.2,300
78,18,2.301707167061977,166.0,31.0,True,250,0.2,300
79,19,2.5478716250509024,166.0,32.0,True,250,0.2,300
80,20,2.69475104205776,166.0,33.0,True,250,0.2,300
81,21,2.8578966669738293,166.0,34.0,True,250,0.2,300
82,22,3.007720833993517,166.0,35.0,True,250,0.2,300
83,23,3.1676310000475496,166.0,36.0,True,250,0.2,300
84,24,3.319840250071138,166.0,37.0,True,250,0.2,300
85,25,3.4854168749880046,166.0,38.0,True,250,0.2,300
86,26,3.6243782499805093,166.0,39.0,True,250,0.2,300
87,27,3.849551292019896,166.0,40.0,True,250,0.2,300
88,28,3.9973201249958947,166.0,41.0,True,250,0.2,300
89,29,4.150102750048973,166.0,42.0,True,250,0.2,300
90,30,4.300808500032872,166.0,43.0,True,250,0.2,300
91,31,4.4499998340616,166.0,44.0,True,250,0.2,300
92,32,4.590312791988254,166.0,45.0,True,250,0.2,300
93,33,4.7292797500267625,166.0,46.0,True,250,0.2,300
94,34,4.8776524170534685,166.0,47.0,True,250,0.2,300
95,35,5.041424583992921,166.0,48.0,True,250,0.2,300
96,36,5.185590667068027,166.0,49.0,True,250,0.2,300
97,37,5.333384625031613,166.0,50.0,True,250,0.2,300
