,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,10.0,50,0.009769291966222227,"[0, 9, 5, 8, 9, 5, 3, 5, 5, 7]",True,50,0.1,300
1,300,4.0,2652,0.9829398749861866,"[8.0, 2.0, 9.0, 3.0, 8.0, 0.0, 7.0, 5.0, 6.0, 1.0]",True,50,0.1,300
2,0,10.0,50,0.010728207998909056,"[0, 9, 5, 8, 9, 5, 3, 5, 5, 7]",True,50,0.2,300
3,300,4.0,2652,0.9983304999768734,"[4.0, 9.0, 4.0, 8.0, 3.0, 4.0, 7.0, 2.0, 0.0, 6.0]",True,50,0.2,300
4,0,10.0,50,0.00989466707687825,"[0, 9, 5, 8, 9, 5, 3, 5, 5, 7]",True,50,0.4,300
5,300,3.0,2652,0.9956831670133397,"[2.0, 6.0, 6.0, 2.0, 7.0, 9.0, 3.0, 5.0, 8.0, 4.0]",True,50,0.4,300
6,0,10.0,50,0.009699541958980262,"[0, 9, 5, 8, 9, 5, 3, 5, 5, 7]",True,50,0.5,300
7,300,2.0,2858,1.0740456249332055,"[2.0, 6.0, 3.0, 7.0, 7.0, 9.0, 0.0, 5.0, 8.0, 4.0]",True,50,0.5,300
8,0,10.0,50,0.009437792003154755,"[0, 9, 5, 8, 9, 5, 3, 5, 5, 7]",True,50,0.7,300
9,300,1.0,2807,1.1245312499813735,"[2.0, 6.0, 3.0, 0.0, 7.0, 9.0, 0.0, 5.0, 8.0, 4.0]",True,50,0.7,300
